row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
264561,"'BEAT' expected text, has number",172090653 FOLLOW UP-S,,4,211,"2745 ELEMENTARY DR, RNO",48,07/28/2017,124549 133248,07/28/2017
264573,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264574,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264621,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264622,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264669,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264670,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264717,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264718,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264765,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264766,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264813,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264814,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264861,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264862,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264909,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264910,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
264957,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
264958,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265005,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265006,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265053,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265054,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265101,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265102,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265149,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265150,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265197,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265198,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265245,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265246,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265293,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265294,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265341,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265342,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265375,"'BEAT' expected text, has number",172110153 OUTSIDE AGENCY-S,,3,121,"NB 395N OFF RP/N MCCARRAN BL, R",46,07/30/2017,030645 031407,07/30/2017
265389,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265390,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265393,'LOCATION_ADDRESS' garbled/scrambled text,172110241 PD INFO CALL-S,,9,,"KIETZKE LN/EB I80 ON RP, SPK",,07/30/2017,061356 132125,07/30/2017
265437,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265438,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265454,"'BEAT' expected text, has number",172110508,TRAFFIC STOP-S,5,361,"S MCCARRAN BL/E GLENDALE AV, SPS",6,07/30/2017,124148 125327,07/30/2017
265455,"'BEAT' expected text, has number",172110508,TRAFFIC STOP-S,5,361,"S MCCARRAN BL/E GLENDALE AV, SPS",6,07/30/2017,124148 125327,07/30/2017
265485,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265486,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265533,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265534,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265581,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265582,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265625,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",172110987 TRAFFIC STOP-S,,5,1N41,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,07/30/2017,211252 211648,07/30/2017
265629,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265630,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265668,'LOCATION_ADDRESS' garbled/scrambled text,172111126,EMER MED SERV-S,1,,"KIETZKE LN/WB I80, SPK",,07/30/2017,232631 233640,07/30/2017
265677,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265678,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265725,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265726,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265735,"'BEAT' expected text, has number",172120118 TRAFFIC STOP,,1,161,"1530 E LINCOLN WY, SPK",98,07/31/2017,030404 030839,07/31/2017
265736,"'BEAT' expected text, has number",172120118 TRAFFIC STOP,,1,161,"1530 E LINCOLN WY, SPK",98,07/31/2017,030404 030839,07/31/2017
265773,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265774,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265821,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265822,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265869,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265870,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265917,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265918,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
265965,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
265966,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266013,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266014,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266061,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266062,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266109,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266110,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266137,"'BEAT' expected text, has number",172121334 FAMILY DISTR-S,,1,151,"EL RANCHO DR/ELEMENTARY DR, SPS",1,07/31/2017,225331 230415,07/31/2017
266138,"'BEAT' expected text, has number",172121334 FAMILY DISTR-S,,1,151,"EL RANCHO DR/ELEMENTARY DR, SPS",1,07/31/2017,225331 230415,07/31/2017
266139,"'BEAT' expected text, has number",172121334 FAMILY DISTR-S,,1,151,"EL RANCHO DR/ELEMENTARY DR, SPS",1,07/31/2017,225331 230415,07/31/2017
266157,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266158,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266198,'LOCATION_ADDRESS' garbled/scrambled text,172130053 TRAFFIC STOP-S,,5,141,"SPRINGLAND DR/BARING BL, SPK",S4,08/01/2017,010940 011213,08/01/2017
266199,'LOCATION_ADDRESS' garbled/scrambled text,172130053 TRAFFIC STOP-S,,5,141,"SPRINGLAND DR/BARING BL, SPK",S4,08/01/2017,010940 011213,08/01/2017
266205,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266206,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266253,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266254,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266301,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266302,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266349,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266350,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266397,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266398,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266432,'LOCATION_ADDRESS' garbled/scrambled text,172130917 STALLED VEH-S,,3,6K98,"N DANDREA PW/VISTA BL, SPK",S4,08/01/2017,152052 154512,08/01/2017
266445,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266446,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266493,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266494,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266541,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266542,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266589,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266590,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266637,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266638,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266685,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266686,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266703,'LOCATION_ADDRESS' garbled/scrambled text,172140254,BUSINESS CK-S,5,221,"EARTHSTONE DR/BELMAR DR, SPK",S2,08/02/2017,072313 075021,08/02/2017
266733,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266734,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266781,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266782,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266829,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266830,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266877,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266878,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266925,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266926,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
266973,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
266974,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267021,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267022,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267069,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267070,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267117,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267118,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267149,'LOCATION_ADDRESS' garbled/scrambled text,172150052 RECKLESS DRIV-S,,3,161,"OCALLAGHAN DR/FARGO WY, SPK",S6,08/03/2017,010835 011806,08/03/2017
267150,'LOCATION_ADDRESS' garbled/scrambled text,172150052 RECKLESS DRIV-S,,3,161,"OCALLAGHAN DR/FARGO WY, SPK",S6,08/03/2017,010835 011806,08/03/2017
267151,'LOCATION_ADDRESS' garbled/scrambled text,172150052 RECKLESS DRIV-S,,3,161,"OCALLAGHAN DR/FARGO WY, SPK",S6,08/03/2017,010835 011806,08/03/2017
267152,'LOCATION_ADDRESS' garbled/scrambled text,172150052 RECKLESS DRIV-S,,3,161,"OCALLAGHAN DR/FARGO WY, SPK",S6,08/03/2017,010835 011806,08/03/2017
267165,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267166,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267181,"'BEAT' expected text, has number",172150103 SUSPICIOUS SUB-S,,3,161,"S MCCARRAN BL/E GLENDALE AV, SPS",6,08/03/2017,024427 025041,08/03/2017
267182,"'BEAT' expected text, has number",172150103 SUSPICIOUS SUB-S,,3,161,"S MCCARRAN BL/E GLENDALE AV, SPS",6,08/03/2017,024427 025041,08/03/2017
267183,"'BEAT' expected text, has number",172150116 TRAFFIC STOP-S,,5,162,"S MCCARRAN BL/E GLENDALE AV, SPS",6,08/03/2017,031742 032356,08/03/2017
267184,"'BEAT' expected text, has number",172150116 TRAFFIC STOP-S,,5,162,"S MCCARRAN BL/E GLENDALE AV, SPS",6,08/03/2017,031742 032356,08/03/2017
267213,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267214,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267261,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267262,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267309,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
