call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P180000032,BIPD,1/1/2018 0:00,0027,8588,NE HIDDEN COVE RD,122175544,25815402,FI
P180000130,BIPD,1/1/2018 0:00,0558,128,OLYMPIC DR SE,122596812,23237700,PC4
P180000248,BIPD,1/1/2018 0:00,1249,,ROBINWOOD DR NE / WING POINT WAY NE,122710197,23375705,PARKI3
P180000319,BIPD,1/1/2018 0:00,1531,,"XY(121066670,24672727)",121066670,24672727,CELL
P180000354,BIPD,1/1/2018 0:00,1643,,FERNCLIFF AVE NE / HAWLEY WAY NE,122690896,23281528,T
P180000369,BIPD,1/1/2018 0:00,1712,4664,BLAKELY AVE NE,122025797,22554873,PC4
P180000071,BIPD,1/1/2018 0:00,0131,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P180000072,BIPD,1/1/2018 0:00,0131,,NE BERGMAN RD / PETERSON HILL RD NE,121674196,25125251,T
P180000085,BIPD,1/1/2018 0:00,0155,11056,MOUNTAIN VIEW RD NE,122869646,24668349,FIREW4
P180000341,BIPD,1/1/2018 0:00,1629,13540,PHELPS RD NE,122294895,25639851,T
P180000342,BIPD,1/1/2018 0:00,1629,8895,MADISON AVE N,122433945,23949248,PC4
P180000532,BIPD,1/2/2018 0:00,0008,,BOND RD NE / STATE HWY 305 NE,119464456,27949815,ASSIS3
P180000018,BIPD,1/1/2018 0:00,0014,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395381,24298435,FI
P180000045,BIPD,1/1/2018 0:00,0044,11875,MILLER RD NE,121706443,24948700,FIREW4
P180000123,BIPD,1/1/2018 0:00,0507,16261,REITAN RD NE,121427943,26389003,PC3
P180000225,BIPD,1/1/2018 0:00,1156,9449,SPORTSMAN CLUB RD NE,122328595,24141148,T
P180000229,BIPD,1/1/2018 0:00,1159,1351,STONECRESS LN NE,122647294,23672181,HARAS4
P180000309,BIPD,1/1/2018 0:00,1513,499,OLYMPIC DR SE,122674000,23182900,WC3
P180000159,BIPD,1/1/2018 0:00,0922,1344,WINTERGREEN LN NE,122621704,23727339,PC4
P180000160,BIPD,1/1/2018 0:00,0923,835,MADISON AVE N,122415345,23498497,ASSAUG
P180000280,BIPD,1/1/2018 0:00,1353,,MILLER RD NE / NE NEW BROOKLYN RD,121365993,23936591,T
P180000283,BIPD,1/1/2018 0:00,1401,210,WINSLOW WAY E,122464974,23252505,DUMPS
P180000328,BIPD,1/1/2018 0:00,1556,,GROW AVE NW / NE HIGH SCHOOL RD,122338072,23651202,T
P180000350,BIPD,1/1/2018 0:00,1639,301,HIGH SCHOOL RD NE,122491500,23645900,VERBA3
P180000437,BIPD,1/1/2018 0:00,2014,18388,SUQUAMISH WAY NE,121556997,27058943,FU
P180000482,BIPD,1/1/2018 0:00,2147,14019,PHELPS RD NE,122298575,25682970,PC4
P180000487,BIPD,1/1/2018 0:00,2206,,NE LOVGREEN RD E / STATE HWY 305 NE,122194159,24976179,T
P180000513,BIPD,1/1/2018 0:00,2327,16639,AGATE POINT RD NE,121798894,26506853,UNKNO3
P180000514,BIPD,1/1/2018 0:00,2328,625,WINSLOW WAY E,122607645,23236096,TRANS
P180000570,BIPD,1/2/2018 0:00,0220,7839,NE BUCKLIN HILL RD,121871025,23136173,PC4
P180000555,BIPD,1/2/2018 0:00,0119,291,SHANNON DR SE,122502611,23164406,PC4
P180000651,BIPD,1/2/2018 0:00,0855,10781,HYLA AVE NE,122630545,24603199,POV4
P180000676,BIPD,1/2/2018 0:00,0948,4192,NE EAGLE HARBOR DR,122699495,22888296,NARCO4
P180000688,BIPD,1/2/2018 0:00,1017,625,WINSLOW WAY E,122607645,23236096,HARAS4
P180000713,BIPD,1/2/2018 0:00,1051,835,MADISON AVE N,122415345,23498497,WC911
P180000888,BIPD,1/2/2018 0:00,1531,,"XY(122232498,24057417)",122232498,24057417,CELL
P180000490,BIPD,1/1/2018 0:00,2214,406,HIGH SCHOOL RD NE,122537800,23644900,FI
P180000539,BIPD,1/2/2018 0:00,0036,,MADISON AVE N / NE NEW BROOKLYN RD,122442445,23911861,FI
P180000541,BIPD,1/2/2018 0:00,0040,9554,NE NEW BROOKLYN RD,122421981,23912534,PC4
P180000567,BIPD,1/2/2018 0:00,0210,7525,WYATT WAY NW,122047838,23396787,PC4
P180000581,BIPD,1/2/2018 0:00,0329,,STATE HWY 305 NE / WINSLOW WAY E,122597314,23245536,T
P180001082,BIPD,1/2/2018 0:00,2214,,MANITOU BEACH DR NE / NORTH MADISON AVE NE,122430259,24309094,SUSPI4
P180001231,BIPD,1/3/2018 0:00,0744,5327,LYNWOOD CENTER RD NE,121768858,22794469,PC4
P180001227,BIPD,1/3/2018 0:00,0739,,NE BAY HILL RD / MILLER RD NE,121657733,24861883,T
P180001264,BIPD,1/3/2018 0:00,0903,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,T
P180001266,BIPD,1/3/2018 0:00,0907,668,MADISON AVE N,122440145,23439497,SUSPI4
P180001277,BIPD,1/3/2018 0:00,0924,3000,PLEASANT BEACH DR NE,122112500,22010500,NAVIG3
P180000609,BIPD,1/2/2018 0:00,0618,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P180000978,BIPD,1/2/2018 0:00,1832,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,T
P180001014,BIPD,1/2/2018 0:00,1945,403,MADISON AVE N,122413745,23337897,WRT4
P180001056,BIPD,1/2/2018 0:00,2111,550,MADISON AVE N,122431200,23400600,WRT4
P180001061,BIPD,1/2/2018 0:00,2124,11232,FIELDSTONE LN NE,121871294,24749899,WRT4
P180001147,BIPD,1/3/2018 0:00,0121,,NE KOURA RD / MEADOWMEER CIR NE,121979422,24721109,FI
P180000390,BIPD,1/1/2018 0:00,1812,10209,NE GARIBALDI LOOP,122668045,23742897,SEXOF4
P180000455,BIPD,1/1/2018 0:00,2102,253,HIGH SCHOOL RD NE,122470100,23646300,PC4
P180000623,BIPD,1/2/2018 0:00,0729,,NE KOURA RD / STATE HWY 305 NE,122310462,24709752,T
P180000640,BIPD,1/2/2018 0:00,0825,920,HILDEBRAND LN NE,122546345,23567847,UNWAN3
P180000726,BIPD,1/2/2018 0:00,1115,,PARFITT WAY SW / WINSLOW WAY W,122346546,23204431,CELL
P180000865,BIPD,1/2/2018 0:00,1509,,NE BEACH ST / OLYMPUS BEACH RD NE,120970831,24131079,NARCO4
P180000728,BIPD,1/2/2018 0:00,1116,4569,LYNWOOD CENTER RD NE,121750893,22509195,BLSP
P180000830,BIPD,1/2/2018 0:00,1419,380,WINSLOW WAY E,122507500,23253200,WC911
P180000872,BIPD,1/2/2018 0:00,1515,14154,HENDERSON RD NE,121506411,25707812,FU
P180000870,BIPD,1/2/2018 0:00,1513,343,WINSLOW WAY E,122510453,23228755,THEFT3
P180001066,BIPD,1/2/2018 0:00,2140,,FAIRMONT LN NE / NE KOURA RD,122094307,24717547,T
P180001308,BIPD,1/3/2018 0:00,1028,9088,FERNCLIFF AVE NE,122723395,23993998,TRESP4
P180000046,BIPD,1/1/2018 0:00,0046,,REITAN RD NE / STATE HWY 305 NE,121438217,26435044,T
P180000201,BIPD,1/1/2018 0:00,1100,343,WINSLOW WAY E,122510453,23228755,VERBA3
P180000321,BIPD,1/1/2018 0:00,1539,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P180000355,BIPD,1/1/2018 0:00,1644,15446,SUNRISE DR NE,122763796,26092302,PC4
P180000398,BIPD,1/1/2018 0:00,1834,1184,HILDEBRAND LN NE,122535279,23625086,PC4
P180000432,BIPD,1/1/2018 0:00,2002,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,T
P180000051,BIPD,1/1/2018 0:00,0057,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
