call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P100001607,BIPD,1/3/2010 0:00,2052,,NE DAY RD W / MILLER RD NE,121978357,25249210,T
P100001077,BIPD,1/2/2010 0:00,2152,4192,NE EAGLE HARBOR DR,122685917,22854868,FI
P100001024,BIPD,1/2/2010 0:00,2011,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571082,23644469,T
P100000882,BIPD,1/2/2010 0:00,1600,625,WINSLOW WAY E,122607400,23236050,FI
P100000840,BIPD,1/2/2010 0:00,1432,16884,AGATE POINT RD NE,121841777,26624459,ALRA
P100000355,BIPD,1/1/2010 0:00,1508,499,OLYMPIC DR SE,122670949,23181984,RECKL4
P100000299,BIPD,1/1/2010 0:00,1249,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,FU
P100000280,BIPD,1/1/2010 0:00,1206,,MADISON AVE N / STATE HWY 305 NE,122472543,23963078,TRAFF3
P100000245,BIPD,1/1/2010 0:00,1035,10909,NE WARABI LN,122865900,22485800,ALRA
P100000188,BIPD,1/1/2010 0:00,0625,8681,BATTLE POINT DR NE,121195600,24085900,UNKNO3
P100000041,BIPD,1/1/2010 0:00,0042,,NE SEABOLD CHURCH RD / STATE HWY 305 NE,121628932,25910523,DV4
P100001846,BIPD,1/4/2010 0:00,1054,,"XY(122363412,23682384)",122363412,23682384,CELL
P100002158,BIPD,1/4/2010 0:00,2207,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,122535496,23644973,FI
P100001911,BIPD,1/4/2010 0:00,1315,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395136,24298387,T
P100001821,BIPD,1/4/2010 0:00,1014,600,ERICKSEN AVE NE,122551700,23408300,HARAS4
P100001795,BIPD,1/4/2010 0:00,0937,11770,MANZANITA LN NE,121689800,24918900,BURGL4
P100001775,BIPD,1/4/2010 0:00,0901,16120,AGATE POINT RD NE,121891800,26344900,PC3
P100001778,BIPD,1/4/2010 0:00,0907,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571082,23644469,PC3
P100001672,BIPD,1/3/2010 0:00,2358,135,SADIE LN NW,122418806,23462019,HARAS4
P100001592,BIPD,1/3/2010 0:00,2020,15347,SUQUAMISH WAY NE,121268567,26464214,DUI3
P100001580,BIPD,1/3/2010 0:00,1950,,FIR ACRES DR NW / GROW AVE NW,122333633,23453519,T
P100001348,BIPD,1/3/2010 0:00,1052,,MADISON AVE N / STATE HWY 305 NE,122472543,23963078,T
P100001329,BIPD,1/3/2010 0:00,0934,,NE COUNTRY CLUB RD / FORT WARD HILL RD NE,122444940,22146864,MVC4
P100000851,BIPD,1/2/2010 0:00,1450,,NE DAY RD E / NE YETI LN,122025071,25272959,CELL
P100002378,BIPD,1/5/2010 0:00,1226,10390,NE LAFAYETTE AVE,122750400,26161500,FU
P100002319,BIPD,1/5/2010 0:00,0957,625,WINSLOW WAY E,122607400,23236050,WRT4
P100002299,BIPD,1/5/2010 0:00,0920,,NE JUSTIN CT / MILLER RD NE,121500047,24497860,T
P100002269,BIPD,1/5/2010 0:00,0742,671,MADISON AVE N,122432063,23439070,FU
P100002174,BIPD,1/4/2010 0:00,2256,,GROW AVE NW / MADISON AVE N,122426361,23658381,CELL
P100001847,BIPD,1/4/2010 0:00,1055,,"XY(122552272,23583747)",122552272,23583747,CELL
P100001840,BIPD,1/4/2010 0:00,1049,,"XY(122706692,23141823)",122706692,23141823,CELL
P100001808,BIPD,1/4/2010 0:00,0959,,NE HIGH SCHOOL RD / MADISON AVE N,122439778,23649794,T
P100001576,BIPD,1/3/2010 0:00,1937,253,HIGH SCHOOL RD NE,122470113,23646327,FOUND3
P100001498,BIPD,1/3/2010 0:00,1644,,NE LOVGREEN RD E / STATE HWY 305 NE,122193914,24976129,DUI3
P100001123,BIPD,1/2/2010 0:00,2245,1220,HILDEBRAND LN NE,122550150,23631050,DUI3
P100001097,BIPD,1/2/2010 0:00,2217,625,WINSLOW WAY E,122607400,23236050,FU
P100001084,BIPD,1/2/2010 0:00,2201,,NE BUCKLIN HILL RD / NE EAGLE HARBOR DR,121966131,23304962,T
P100000846,BIPD,1/2/2010 0:00,1443,,STATE HWY 305 NE / NE WEST PORT MADISON RD,121590699,26041540,T
P100000799,BIPD,1/2/2010 0:00,1313,7644,NE DAY RD W,121826510,25255685,PC4
P100000478,BIPD,1/1/2010 0:00,1919,5460,NE TOLO RD,121086600,24356800,TRAFF3
P100000475,BIPD,1/1/2010 0:00,1912,,"XY(122552272,23583747)",122552272,23583747,CELL
P100000346,BIPD,1/1/2010 0:00,1444,,,122669912,23179110,CELL
P100000275,BIPD,1/1/2010 0:00,1156,625,WINSLOW WAY E,122607400,23236050,WRT3
P100000057,BIPD,1/1/2010 0:00,0102,6569,FLETCHER BAY RD NE,121699600,23213000,FIREW4
P100000038,BIPD,1/1/2010 0:00,0035,,NE KOURA RD / STATE HWY 305 NE,122310217,24709702,TRAFF3
P100002396,BIPD,1/5/2010 0:00,1305,16001,SUQUAMISH WAY NE,121276211,26606076,T
P100002773,BIPD,1/6/2010 0:00,0521,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,MVC4
P100003176,BIPD,1/6/2010 0:00,2041,625,WINSLOW WAY E,122607400,23236050,FU
P100002963,BIPD,1/6/2010 0:00,1416,9624,SPORTSMAN CLUB RD NE,122373100,24193200,T
P100002858,BIPD,1/6/2010 0:00,1012,,FINCH RD NE / WYATT WAY NW,122036524,23398020,SUSPI3
P100002764,BIPD,1/6/2010 0:00,0432,,CAVE AVE NE / WINSLOW WAY E,122622306,23244727,T
P100002476,BIPD,1/5/2010 0:00,1522,5834,WARD AVE NE,122596367,22917059,TRESP4
P100002434,BIPD,1/5/2010 0:00,1422,8033,NE BUCKLIN HILL RD,121921382,23142116,SUICIB
P100002730,BIPD,1/6/2010 0:00,0114,,NE SEABOLD RD / STATE HWY 305 NE,121590699,26041540,T
P100002699,BIPD,1/5/2010 0:00,2318,8921,MANDUS OLSON RD NE,121765100,23944900,SUSPI3
P100002645,BIPD,1/5/2010 0:00,2121,625,WINSLOW WAY E,122607400,23236050,FI
P100002625,BIPD,1/5/2010 0:00,2028,625,WINSLOW WAY E,122607400,23236050,MISC4
P100002965,BIPD,1/6/2010 0:00,1421,15900,STATE HWY 305 NE,121341224,26500868,T
P100002444,BIPD,1/5/2010 0:00,1435,997,HAWLEY WAY NE,122716904,23281174,PARKI4
P100002891,BIPD,1/6/2010 0:00,1133,4460,ROCKAWAY BEACH RD NE,122942659,22319390,MISC4
P100002926,BIPD,1/6/2010 0:00,1249,,NE SEABOLD RD / NE WEST PORT MADISON RD,121590699,26041540,THEFT4
P100004340,BIPD,1/8/2010 0:00,2328,920,MADISON AVE N,122445900,23547300,T
P100002510,BIPD,1/5/2010 0:00,1620,625,WINSLOW WAY E,122607400,23236050,MISC4
P100002575,BIPD,1/5/2010 0:00,1832,907,CARVER ST,118434962,20790479,MEDIA
P100002587,BIPD,1/5/2010 0:00,1901,15798,STATE HWY 305 NE,121419086,26448474,DUI3
P100002125,BIPD,1/4/2010 0:00,2022,6550,WING POINT RD NE,123061025,23169765,ALRA
P100002053,BIPD,1/4/2010 0:00,1751,11580,NORTH MADISON AVE NE,122460479,24829013,CUSTO3
P100002009,BIPD,1/4/2010 0:00,1626,,MADISON AVE N / WYATT WAY NE,122430637,23382031,T
