call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P170141188,8/31/2017 0:00,1607,,NE HIDDEN COVE RD / RUNNING SPRINGS LN NE,121910918,25636035,T
P170141272,8/31/2017 0:00,1800,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,121365993,23936591,T
P170141273,8/31/2017 0:00,1806,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,121365993,23936591,T
P170138901,8/27/2017 0:00,2036,15211,ALMA PL NE,121565660,26047164,PC4
P170139009,8/28/2017 0:00,0049,9481,GREEN SPOT PL NE,122598245,24127898,TRANS
P170168355,10/18/2017 0:00,0823,1253,CHERRY AVE NE,122891562,23639821,PC4
P170168387,10/18/2017 0:00,0937,625,WINSLOW WAY E,122607645,23236096,MISC3
P170168777,10/18/2017 0:00,2012,113,ERICKSEN AVE NE,122525929,23250152,PC4
P170168785,10/18/2017 0:00,2027,7959,NE BECK RD,121844894,22330595,BURGL1
P170168894,10/19/2017 0:00,0446,8672,FLETCHER BAY RD NE,121375367,23900622,PC4
P170161028,10/5/2017 0:00,1025,203,PARFITT WAY SW,122385345,23135946,SUSPI4
P170163368,10/9/2017 0:00,1123,9125,SPORTSMAN CLUB RD NE,122244794,24001398,T
P170161113,10/5/2017 0:00,1245,920,HILDEBRAND LN NE,122546345,23567847,FOUND4
P170161368,10/5/2017 0:00,1957,14700,SUNRISE DR NE,122861596,25871302,PC4
P170163509,10/9/2017 0:00,1455,,KNECHTEL WAY NE / MADISON AVE N,122432491,23447763,SUSPI4
P170163725,10/9/2017 0:00,2230,10309,NE VALLEY RD,122692744,24698336,PC4
P170139077,8/28/2017 0:00,0736,9948,NE BOLERO DR,122547445,21973144,MENTAA
P170139220,8/28/2017 0:00,1156,150,WINSLOW WAY E,122467800,23261300,FU
P170139310,8/28/2017 0:00,1441,,MADISON AVE N / WYATT WAY NE,122430882,23382078,MVC3
P170139360,8/28/2017 0:00,1637,343,WINSLOW WAY E,122501900,23247000,RECKL4
P170139406,8/28/2017 0:00,1750,600,ALDER AVE NE,123000946,23388747,BURGL4
P170139739,8/29/2017 0:00,0925,625,WINSLOW WAY E,122607645,23236096,PC4
P170167146,10/16/2017 0:00,1036,9350,SANDS AVE NE,121935044,24085648,SUSPI3
P170168358,10/18/2017 0:00,0828,9136,NE HIDDEN COVE RD,122313388,25763095,PC4
P170165893,10/13/2017 0:00,2000,14988,SIVERTSON RD NE,121927694,25904352,TRESP4
P170167387,10/16/2017 0:00,1703,,ASHBURY CT NW / WYATT WAY NW,122277702,23387501,SUSPI4
P170167414,10/16/2017 0:00,1817,1196,HILDEBRAND LN NE,122535399,23630230,PC4
P170167489,10/16/2017 0:00,2055,9517,MORAN RD NE,122425795,24137448,CIVIL3
P170139806,8/29/2017 0:00,1107,3901,EL CIMO LN NE,121282193,22277945,FU
P170142084,9/1/2017 0:00,2249,10590,STATE HWY 305 NE,122392635,24471165,T
P170142114,9/1/2017 0:00,2347,7566,NE HIGH SCHOOL RD,121772914,23667970,PC4
P170137964,8/26/2017 0:00,0245,625,WINSLOW WAY E,122607645,23236096,TRANS
P170138060,8/26/2017 0:00,1021,541,HOMESTEAD LN,122473295,23418247,CHILD2
P170142194,9/2/2017 0:00,0425,,NE DAY RD E / STATE HWY 305 NE,122023646,25247430,T
P170161406,10/5/2017 0:00,2145,299,SHANNON DR SE,122508700,23164500,SUSPI3
P170161441,10/5/2017 0:00,2259,7644,NE DAY RD W,121826500,25255700,PC4
P170159357,10/2/2017 0:00,1123,,NE SEABOLD CHURCH RD / STATE HWY 305 NE,121629175,25910575,TRAFF3
P170159466,10/2/2017 0:00,1439,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,T
P170159486,10/2/2017 0:00,1507,625,WINSLOW WAY E,122607645,23236096,MISC3
