call_id,agency,actdate,acttime,geox,geoy,streetnbr,street,naturecode
P050002838,BIPD,1/6/2005 0:00,1809,370529206,79640777,,AGATEWOOD RD NE / STATE HY 305 NE,TRAFF3
P050003384,BIPD,1/7/2005 0:00,1952,373493965,72070207,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,T
P050001483,BIPD,1/3/2005 0:00,2145,371966764,71464764,,FINCH RD NE / NE NEW HOLLAND CT,T
P050001485,BIPD,1/3/2005 0:00,2153,373060315,72080318,225,NE HIGH SCHOOL RD,WC911
P050001558,BIPD,1/4/2005 0:00,0258,371037373,73638322,9645,MANDUS OLSON RD NE,FI
P050001142,BIPD,1/3/2005 0:00,1042,371940644,72928746,8400,NE NEW BROOKLYN RD,ASSIS3
P050001095,BIPD,1/3/2005 0:00,0902,373698391,70849225,625,WINSLOW WY E,FI
P050000962,BIPD,1/2/2005 0:00,2228,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,T
P050001858,BIPD,1/4/2005 0:00,1730,372862602,70877588,,GROW AV NW / WINSLOW WY W,T
P050001486,BIPD,1/3/2005 0:00,2154,373077522,72058255,245,HIGH SCHOOL RD NW,SUICIB
P050001475,BIPD,1/3/2005 0:00,2135,371965880,71316747,,FINCH RD NE / NE WYATT WY,T
P050002161,BIPD,1/5/2005 0:00,1132,373753350,70848849,,CAVE AV NE / WINSLOW WY E,PC4
P050002164,BIPD,1/5/2005 0:00,1150,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,T
P050001201,BIPD,1/3/2005 0:00,1235,373028796,74084211,,SPORTSMAN CLUB RD NE / NE WARDWELL RD,T
P050001952,BIPD,1/4/2005 0:00,2054,373311047,71919816,210,CAMELIA LP NE,LIQUO3
P050002048,BIPD,1/5/2005 0:00,0337,373294106,72037530,253,HIGH SCHOOL RD NE,THEFT3
P050001900,BIPD,1/4/2005 0:00,1901,369844956,73475511,9171,MILLER RD NE,T
P050001855,BIPD,1/4/2005 0:00,1725,372805543,75317290,,NE KOURA RD / STATE HY 305 NE,T
P050002287,BIPD,1/5/2005 0:00,1607,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050003390,BIPD,1/7/2005 0:00,1956,373180102,71694730,920,MADISON AV N,FI
P050002848,BIPD,1/6/2005 0:00,1828,373905264,70637166,499,OLYMPIC DR SE,POV4
P050002694,BIPD,1/6/2005 0:00,1331,369805463,73375616,8900,MILLER RD NE,FI
P050002672,BIPD,1/6/2005 0:00,1238,371205968,68266205,4187,PLEASANT BEACH DR NE,ALRA
P050002449,BIPD,1/5/2005 0:00,2104,372899940,78460973,,ELLINGSEN RD NE / PHELPS RD NE,T
P050002286,BIPD,1/5/2005 0:00,1605,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,TRAFF3
P050000035,BIPD,1/1/2005 0:00,0045,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,MVC3
P050000024,BIPD,1/1/2005 0:00,0032,370134612,80593369,,REITAN RD NE / STATE HY 305 NE,T
P050001595,BIPD,1/4/2005 0:00,0812,369236173,75606554,11299,ARROW POINT DR NE,ASSAU4
P050001448,BIPD,1/3/2005 0:00,2044,370154917,67912258,,NE LATYSON LN / POINT WHITE DR NE,T
P050001341,BIPD,1/3/2005 0:00,1709,373070335,70816763,215,FINCH PL SW,BLSGP
P050003450,BIPD,1/7/2005 0:00,2206,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050000939,BIPD,1/2/2005 0:00,2114,369920520,72956565,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,T
P050001964,BIPD,1/4/2005 0:00,2121,373169414,71264069,,MADISON AV N / WYATT WY NE,T
P050000878,BIPD,1/2/2005 0:00,1838,373275442,66385380,9812,NE RADIO SCHOOL RD,WC911
P050000817,BIPD,1/2/2005 0:00,1649,369874678,73543522,,BATTLE POINT DR NE / MILLER RD NE,T
P050000766,BIPD,1/2/2005 0:00,1438,374089209,76881804,,NE DAY RD E / SUNRISE DR NE,TRAFF3
P050000774,BIPD,1/2/2005 0:00,1459,373287280,76904551,,NE DAY RD E / N MADISON AV NE,T
P050002445,BIPD,1/5/2005 0:00,2059,360536185,80455285,,CLEAR CREEK RD NW / NW CLOSSER DR,ASSIS3
P050001150,BIPD,1/3/2005 0:00,1057,373947731,73206097,9164,FERNCLIFF AV NE,PC3
P050000998,BIPD,1/2/2005 0:00,2359,374060618,75278952,,SUNRISE DR NE / NE VALLEY RD,FI
P050002689,BIPD,1/6/2005 0:00,1323,371965880,71316747,,FINCH RD NE / NE WYATT WY,MVC3
P050000989,BIPD,1/2/2005 0:00,2326,373651045,72029474,601,HIGH SCHOOL RD NE,T
P050000941,BIPD,1/2/2005 0:00,2117,372839782,65641467,9301,NE SOUTH BEACH RD,PARKI3
