call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode,agency
P080169629,10/31/2008 0:00,2241,,NE LOVGREEN RD W / MILLER RD NE,371305499,76227117,T,BIPD
P080171804,11/5/2008 0:00,0658,,MADISON AVE NE / NE NEW BROOKLYN RD,373441233,72955531,T,BIPD
P080172067,11/5/2008 0:00,1534,260,FERNCLIFF AVE NE,374202983,71081936,FRAUD4,BIPD
P080172075,11/5/2008 0:00,1556,625,WINSLOW WAY E,373938205,70912755,FU,BIPD
P080172112,11/5/2008 0:00,1701,350,MADISON AVE N,373406730,71207077,FU,BIPD
P080122220,8/10/2008 0:00,1425,,NE DAY RD W / MILLER RD NE,371987641,77021840,T,BIPD
P080124158,8/14/2008 0:00,0834,14500,N MADISON AVE NE,373435059,78652215,FU,BIPD
P080124242,8/14/2008 0:00,1140,4644,ISLAND AVE NE,370336067,68916705,THEFT4,BIPD
P080126548,8/18/2008 0:00,1453,343,WINSLOW WAY E,373645613,70918919,MALIC4,BIPD
P080124241,8/14/2008 0:00,1139,625,WINSLOW WAY E,373938205,70912755,POV3,BIPD
P080126684,8/18/2008 0:00,2015,800,ERICKSEN AVE NE,373716302,71634703,FRAUD4,BIPD
P080129515,8/23/2008 0:00,1616,,GROW AVE NW / SHEPARD WAY NW,373105343,71143025,T,BIPD
P080134721,9/2/2008 0:00,1004,625,WINSLOW WAY E,373938205,70912755,MISC3,BIPD
P080129625,8/23/2008 0:00,2019,13369,STONEBRIDGE LN NE,374087903,77580243,FU,BIPD
P080129665,8/23/2008 0:00,2112,,NE NEW BROOKLYN RD / NORTH TOWN DR NE,372941378,72967681,T,BIPD
P080131521,8/27/2008 0:00,1433,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080131554,8/27/2008 0:00,1530,9001,SPRINGWOOD AVE NE,373845556,72975785,THEFT4,BIPD
P080122933,8/11/2008 0:00,2035,6324,NE HIDDEN COVE RD,370290115,78265786,DV3,BIPD
P080123172,8/12/2008 0:00,1007,625,WINSLOW WAY E,373938205,70912755,MISC3,BIPD
P080125423,8/16/2008 0:00,1139,,BLAKELY AVE NE / NE COUNTRY CLUB RD,373382833,67882040,T,BIPD
P080125510,8/16/2008 0:00,1504,8553,NE DAY RD E,372436857,77006787,WC911,BIPD
P080123367,8/12/2008 0:00,1628,625,WINSLOW WAY E,373938205,70912755,FI,BIPD
P080172120,11/5/2008 0:00,1712,8369,NE GRIZDALE LN,372158772,73178184,CPR,BIPD
P080171844,11/5/2008 0:00,0914,16555,AGATE POINT RD NE,371602543,80820934,ALSP,BIPD
P080171945,11/5/2008 0:00,1230,570,WOOD AVE SW,373176659,70488601,MALIC4,BIPD
P080172204,11/5/2008 0:00,2014,,NE HIGH SCHOOL RD / MADISON AVE N,373426685,72164548,T,BIPD
P080172240,11/5/2008 0:00,2151,14800,STATE HWY 305 NE,370970189,79037574,MVC4,BIPD
P080172299,11/6/2008 0:00,0050,,CAVE AVE NE / WINSLOW WAY E,373993165,70912380,T,BIPD
P080124585,8/14/2008 0:00,2224,4900,ROSE AVE NE,373361418,69129863,NOISE3,BIPD
P080124601,8/14/2008 0:00,2253,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080124912,8/15/2008 0:00,1355,14649,HENDERSON RD NE,370557844,78890111,ALRA,BIPD
P080127103,8/19/2008 0:00,1418,15446,SUNRISE DR NE,374422549,79655716,FU,BIPD
P080127134,8/19/2008 0:00,1526,278,WINSLOW WAY E,373583085,70921550,UNWAN3,BIPD
P080125039,8/15/2008 0:00,1713,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,SUSPI3,BIPD
P080129974,8/24/2008 0:00,1303,,FIR ACRES DR NW / GROW AVE NW,373111195,71618074,T,BIPD
P080130210,8/25/2008 0:00,0040,3900,POINT WHITE DR NE,370436678,68138400,T,BIPD
P080132708,8/29/2008 0:00,1550,945,HILDEBRAND LN NE,373719590,71771658,WC911,BIPD
P080132748,8/29/2008 0:00,1648,14350,SUNRISE DR NE,374359272,78414142,WRT4,BIPD
P080135352,9/3/2008 0:00,0950,,NE BAKER HILL RD / BLAKELY AVE NE,372144004,68948669,T,BIPD
P080133053,8/30/2008 0:00,0135,403,MADISON AVE S,373393010,70662995,ASSAU4,BIPD
P080138251,9/8/2008 0:00,0632,10901,NE SOUTH BEACH DR,374502022,65445886,THEFT4,BIPD
P080138236,9/8/2008 0:00,0402,625,WINSLOW WAY E,373938205,70912755,FU,BIPD
P080138358,9/8/2008 0:00,0930,842,ISAAC AVE NE,374245996,71678120,ALRA,BIPD
P080138464,9/8/2008 0:00,1250,11001,FALK RD NE,374498239,75147370,ABAND4,BIPD
P080138492,9/8/2008 0:00,1334,825,HIGH SCHOOL RD NE,374184424,72057605,WC3,BIPD
P080138605,9/8/2008 0:00,1613,1751,LEWIS PL NW,372972191,72562012,MALIC4,BIPD
P080125875,8/17/2008 0:00,0323,190,HARBOR SQUARE LOOP NE,374149386,70917662,LOUDP3,BIPD
P080125906,8/17/2008 0:00,0810,,LOVELL AVE NW / WYATT WAY NW,373011769,71345589,T,BIPD
P080123606,8/13/2008 0:00,0752,11159,NE WING POINT DR,375140901,70910238,FU,BIPD
P080123643,8/13/2008 0:00,0924,14500,N MADISON AVE NE,373435059,78652215,FU,BIPD
P080125943,8/17/2008 0:00,1034,350,HIGH SCHOOL RD NE,373687525,72134546,FU,BIPD
P080126027,8/17/2008 0:00,1422,,MADISON AVE NE / STATE HWY 305 NE,373543645,73102849,LOSTP4,BIPD
P080133077,8/30/2008 0:00,0307,5769,NE TOLO RD,369589185,74248423,DV3,BIPD
P080135491,9/3/2008 0:00,1321,,"WATERFRONT PARK, BI",373770619,70672898,PC3,BIPD
P080133221,8/30/2008 0:00,1349,,NE HIGH SCHOOL RD / MADISON AVE N,373426685,72164548,T,BIPD
P080135651,9/3/2008 0:00,1717,,MILLER RD NE / NE TOLO RD,370379639,74237788,FI,BIPD
P080133621,8/31/2008 0:00,0326,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080172416,11/6/2008 0:00,1105,,MADISON AVE N / WYATT WAY NE,373409229,71327600,T,BIPD
P080172418,11/6/2008 0:00,1106,625,WINSLOW WAY E,373938205,70912755,FRAUD4,BIPD
P080172432,11/6/2008 0:00,1134,2484,SOUNDVIEW DR NE,373374222,66694533,TRAFF3,BIPD
P080172523,11/6/2008 0:00,1436,625,WINSLOW WAY E,373938205,70912755,FI,BIPD
P080172662,11/6/2008 0:00,1929,123,BJUNE DR SE,373435576,70846099,SEXOF4,BIPD
P080171487,11/4/2008 0:00,1503,,FERNCLIFF AVE NE / NE HIGH SCHOOL RD,374227556,72123046,FI,BIPD
P080127488,8/20/2008 0:00,1008,625,WINSLOW WAY E,373938205,70912755,FU,BIPD
P080125147,8/15/2008 0:00,2029,625,WINSLOW WAY E,373938205,70912755,FU,BIPD
P080125235,8/15/2008 0:00,2312,274,GIDEON LN NW,373149687,71435019,GRAFF3,BIPD
P080125257,8/15/2008 0:00,2353,625,WINSLOW WAY E,373938205,70912755,FU,BIPD
P080127672,8/20/2008 0:00,1634,7500,NE HIDDEN COVE RD,371431800,78315062,T,BIPD
P080125314,8/16/2008 0:00,0253,625,WINSLOW WAY E,373938205,70912755,TRANS,BIPD
P080133631,8/31/2008 0:00,0436,8600,NE LOVGREEN RD E,372806605,76188613,HARAS4,BIPD
P080133669,8/31/2008 0:00,0902,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080135930,9/4/2008 0:00,0739,,N MADISON AVE NE / MORAN RD NE,373315124,74160542,T,BIPD
P080134117,9/1/2008 0:00,0246,,STATE HWY 305 NE / WINSLOW WAY E,373920134,70912883,DUI3,BIPD
P080134191,9/1/2008 0:00,0919,,NE DAY RD E / STATE HWY 305 NE,372176008,77016750,TRAFF3,BIPD
P080134273,9/1/2008 0:00,1203,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,TRAFF3,BIPD
P080171515,11/4/2008 0:00,1545,400,HARBORVIEW DR SE,374015565,70715617,FU,BIPD
P080173300,11/7/2008 0:00,2123,,NE DAY RD E / STATE HWY 305 NE,372176008,77016750,DUI3,BIPD
P080173314,11/7/2008 0:00,2208,1111,WING POINT WAY NE,374448397,71308881,NOISE4,BIPD
P080173332,11/7/2008 0:00,2300,,NE KOURA RD / STATE HWY 305 NE,373045358,75380821,T,BIPD
P080173737,11/8/2008 0:00,1834,,NE SEABOLD RD / STATE HWY 305 NE,370853328,79435780,DUI3,BIPD
P080173765,11/8/2008 0:00,1929,,NE HIDDEN COVE RD / STATE HWY 305 NE,371306383,78271249,RECKL4,BIPD
P080138682,9/8/2008 0:00,1818,253,HIGH SCHOOL RD NE,373594062,72136175,MVC4,BIPD
P080138696,9/8/2008 0:00,1901,4569,LYNWOOD CENTER RD NE,371388059,68907281,CIVIL4,BIPD
P080138695,9/8/2008 0:00,1858,10810,NE MANITOU PARK BLVD,374998528,74914065,ALRA,BIPD
P080138912,9/9/2008 0:00,0702,1343,STONECRESS LN NE,374155781,72285456,THEFT4,BIPD
P080139252,9/9/2008 0:00,1728,945,HILDEBRAND LN NE,373719590,71771658,WC911,BIPD
P080139309,9/9/2008 0:00,1905,,NE HIDDEN COVE RD / STATE HWY 305 NE,371306383,78271249,RECKL3,BIPD
P080125437,8/16/2008 0:00,1216,330,MADISON AVE SOUTH,0,0,THEFT4,BIPD
P080125812,8/17/2008 0:00,0016,289,SHANNON DR SE,373635196,70669601,NOISE4,BIPD
P080125818,8/17/2008 0:00,0028,,"WATERFRONT PARK, BI",373770619,70672898,PC3,BIPD
P080125828,8/17/2008 0:00,0045,,FLETCHER BAY RD NE / NE VINCENT RD,371247953,70522269,TRESP3,BIPD
P080126134,8/17/2008 0:00,1826,,NE HIGH SCHOOL RD / STATE HWY 305 NE,373830218,72132409,RECKL3,BIPD
P080126040,8/17/2008 0:00,1455,,STETSON PL SW / WOOD AVE SW,373162889,70495639,PARKI4,BIPD
P080121308,8/8/2008 0:00,1947,625,WINSLOW WAY E,373938205,70912755,FI,BIPD
P080121363,8/8/2008 0:00,2128,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080126276,8/17/2008 0:00,2315,512,MADRONA WAY NE,373623460,71248131,FU,BIPD
P080126388,8/18/2008 0:00,0749,499,OLYMPIC DR SE,374145079,70700697,T,BIPD
P080126435,8/18/2008 0:00,0948,7950,NE DAY RD W,371841389,77027417,ALRA,BIPD
P080136534,9/5/2008 0:00,0714,1240,WING POINT WAY NE,374568274,71305461,FI,BIPD
P080134372,9/1/2008 0:00,1534,,NE BUCKLIN HILL RD / EAGLE HARBOR DR NE,371997090,71120321,T,BIPD
P080134550,9/1/2008 0:00,2251,8982,NE DAY RD E,372902592,76988613,LOUDP4,BIPD
P080134572,9/1/2008 0:00,2358,4738,LYNWOOD CENTER RD NE,371398474,68947814,ALRA,BIPD
P080134676,9/2/2008 0:00,0906,,NE DAY RD E / PHELPS RD NE,372217522,77015250,T,BIPD
P080134815,9/2/2008 0:00,1236,,FALK RD NE / MANITOU BEACH DR NE,374482704,74490957,TRAFF3,BIPD
P080173746,11/8/2008 0:00,1907,835,MADISON AVE N,373417933,71680041,ASSIS3,BIPD
P080173905,11/8/2008 0:00,2337,,NE DAY RD E / STATE HWY 305 NE,372176008,77016750,T,BIPD
P080174016,11/9/2008 0:00,0813,9350,NE HIGH SCHOOL RD,373171007,72148457,FU,BIPD
P080174041,11/9/2008 0:00,0942,910,MADISON AVE N,373419834,71748451,KEEP4,BIPD
P080174086,11/9/2008 0:00,1150,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080174155,11/9/2008 0:00,1459,,NE BAKER HILL RD / BLAKELY AVE NE,372144004,68948669,T,BIPD
P080128389,8/21/2008 0:00,2128,11700,MEADOWMEER CIR NE,372439792,75716155,WC911,BIPD
P080128391,8/21/2008 0:00,2129,11700,MEADOWMEER CIR NE,372439792,75716155,SFC,BIPD
P080128423,8/21/2008 0:00,2256,,STATE HWY 305 NE / WINSLOW WAY E,373920134,70912883,T,BIPD
P080123835,8/13/2008 0:00,1548,350,HIGH SCHOOL RD NE,373687525,72134546,FU,BIPD
P080128666,8/22/2008 0:00,1254,253,HIGH SCHOOL RD NE,373594062,72136175,PARKI4,BIPD
P080128676,8/22/2008 0:00,1313,10689,FALK RD NE,374493258,74829757,NOISE4,BIPD
P080139355,9/9/2008 0:00,2110,9009,MILLER RD NE,370055672,73480845,DV3,BIPD
P080139366,9/9/2008 0:00,2147,,MILLER RD NE / NE TOLO RD,370379639,74237788,T,BIPD
P080139437,9/10/2008 0:00,0156,499,OLYMPIC DR SE,374145079,70700697,PC3,BIPD
P080141265,9/13/2008 0:00,0123,,NE DAY RD E / STATE HWY 305 NE,372176008,77016750,T,BIPD
P080141390,9/13/2008 0:00,0943,625,WINSLOW WAY E,373938205,70912755,FU,BIPD
P080139509,9/10/2008 0:00,0813,,SPORTSMAN CLUB RD NE / NE WARDWELL RD,373268611,74147742,T,BIPD
P080174369,11/9/2008 0:00,2148,,NE LOVGREEN RD E / STATE HWY 305 NE,372694107,76191946,T,BIPD
P080174377,11/9/2008 0:00,2210,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,373298221,74162703,T,BIPD
P080174410,11/9/2008 0:00,2325,,STATE HWY 305 NE / NE VINEYARD LN,373851402,71329816,T,BIPD
P080174433,11/10/2008 0:00,0031,,IHLAND WAY NE / MADISON AVE N,373421421,71933381,T,BIPD
P080174467,11/10/2008 0:00,0422,625,WINSLOW WAY E,373938205,70912755,MISC4,BIPD
P080174562,11/10/2008 0:00,0930,9811,MANITOU BEACH DR NE,373748213,74152586,FU,BIPD
