call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P140001909,BIPD,1/4/2014 0:00,1258,,MADISON AVE N / STATE HWY 305 NE,122472543,23963078,DUI3
P140001881,BIPD,1/4/2014 0:00,1149,625,WINSLOW WAY E,122607400,23236100,WC911
P140001708,BIPD,1/4/2014 0:00,0045,7666,NE HIGH SCHOOL RD,121802600,23667700,T
P140001593,BIPD,1/3/2014 0:00,2039,1000,WEAVER RD NW,122187600,23568300,FIREW3
P140001323,BIPD,1/3/2014 0:00,1249,4450,BLAKELY AVE NE,122091700,22497100,SUSPI4
P140001355,BIPD,1/3/2014 0:00,1328,625,WINSLOW WAY E,122607400,23236100,MVC4
P140001986,BIPD,1/4/2014 0:00,1514,302,MADRONA WAY NE,122459800,23356235,NARCO3
P140001916,BIPD,1/4/2014 0:00,1309,827,NE HIGH SCHOOL RD,122679200,23604800,CUSTO4
P140001910,BIPD,1/4/2014 0:00,1258,,MILLER RD NE / NE NEW BROOKLYN RD,121365750,23936543,DUI3
P140001894,BIPD,1/4/2014 0:00,1221,8599,GRAND AVE NE,122726550,23845150,FU
P140001833,BIPD,1/4/2014 0:00,1000,625,WINSLOW WAY E,122607400,23236100,WC3
P140001831,BIPD,1/4/2014 0:00,0958,,"XY(122706692,23141823)",122706692,23141823,CELL
P140001774,BIPD,1/4/2014 0:00,0635,343,GOWEN PL NW,122086559,23368233,PC4
P140001685,BIPD,1/3/2014 0:00,2352,4192,NE EAGLE HARBOR DR,122685900,22854900,PC4
P140001307,BIPD,1/3/2014 0:00,1224,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,TRAFF3
P140001021,BIPD,1/2/2014 0:00,2253,625,WINSLOW WAY E,122607400,23236100,FU
P140000988,BIPD,1/2/2014 0:00,2130,,"XY(122071787,25257329)",122071787,25257329,CELL
P140000961,BIPD,1/2/2014 0:00,2005,625,WINSLOW WAY E,122607400,23236100,POV4
P140000941,BIPD,1/2/2014 0:00,1923,,AGATEWOOD RD NE / STATE HWY 305 NE,121562025,26138320,MVC3
P140000947,BIPD,1/2/2014 0:00,1939,625,WINSLOW WAY E,122607400,23236100,WRT4
P140000859,BIPD,1/2/2014 0:00,1630,15446,SUNRISE DR NE,122763600,26092300,PC4
P140000820,BIPD,1/2/2014 0:00,1522,562,BJUNE DR SE,122532601,23232496,WC3
P140000385,BIPD,1/1/2014 0:00,1906,14000-BL,NORTH MADISON AVE NE,122452192,25628252,FIREW4
P140000321,BIPD,1/1/2014 0:00,1621,,EAKIN DR NW / WYATT WAY NW,122125132,23392830,T
P140001436,BIPD,1/3/2014 0:00,1554,625,WINSLOW WAY E,122607400,23236100,WRT4
P140001368,BIPD,1/3/2014 0:00,1357,,STATE HWY 305 NE / VINEYARD LN,122559210,23438563,T
P140001626,BIPD,1/3/2014 0:00,2146,253,HIGH SCHOOL RD NE,122470100,23646300,PC4
P140001735,BIPD,1/4/2014 0:00,0144,5989,BATTLE POINT DR NE,121256400,24131500,MVC3
P140001347,BIPD,1/3/2014 0:00,1317,8730,MADISON AVE N,122440838,23851375,MISC3
P140001283,BIPD,1/3/2014 0:00,1137,5155,LYNWOOD CENTER RD NE,121759750,22742100,ALRFCP
