call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P060002412,BIPD,1/5/2006 0:00,1309,,NE KOURA RD / STATE HY 305 NE,372805543,75317290,T
P060002209,BIPD,1/5/2006 0:00,0056,10861,NE MANITOU PARK BV,374775313,74880864,WC911
P060002145,BIPD,1/4/2006 0:00,2203,,NE HIGH SCHOOL RD / STATE HY 305 NE,373590403,72068878,T
P060001803,BIPD,1/4/2006 0:00,1129,,NE EMERALD WY / LYNWOOD CENTER RD NE,371150358,69505220,T
P060001663,BIPD,1/4/2006 0:00,0546,,NE HIGH SCHOOL RD / STATE HY 305 NE,373590403,72068878,TRAFF3
P060001316,BIPD,1/3/2006 0:00,1237,,NE HIGH SCHOOL RD / STATE HY 305 NE,373590403,72068878,T
P060002098,BIPD,1/4/2006 0:00,2007,8832,FERNCLIFF AV NE,374010879,72900435,FU
P060002148,BIPD,1/4/2006 0:00,2220,,NE HIGH SCHOOL RD / MADISON AV N,373186870,72101017,T
P060002027,BIPD,1/4/2006 0:00,1714,,NE HIDDEN COVE RD / STATE HY 305 NE,371066568,78207718,TRAFF3
P060002490,BIPD,1/5/2006 0:00,1603,16370,STATE HY 305 NE,370102380,80615576,TRAFF3
P060001794,BIPD,1/4/2006 0:00,1116,7200,FLETCHER BAY RD NE,370925503,70992362,T
P060001680,BIPD,1/4/2006 0:00,0716,,BLAKELY AV NE / NE COUNTRY CLUB RD,373143018,67818509,T
P060001648,BIPD,1/4/2006 0:00,0401,,DOWNTOWN WINSLOW,373698391,70849225,FI
P060001581,BIPD,1/3/2006 0:00,2219,,NE DAY RD E / STATE HY 305 NE,371936193,76953219,T
P060001568,BIPD,1/3/2006 0:00,2141,,NE DAY RD E / STATE HY 305 NE,371936193,76953219,T
P060001543,BIPD,1/3/2006 0:00,2049,,MADISON AV N / WINSLOW WY E,373159111,70865790,T
P060001443,BIPD,1/3/2006 0:00,1658,621,HIGH SCHOOL RD NW,372676996,72072287,ASSIS4
P060001240,BIPD,1/3/2006 0:00,1007,,NE LAFAYETTE AV / WASHINGTON AV NE,373110191,79545662,POV3
P060001204,BIPD,1/3/2006 0:00,0916,9465,MANDUS OLSON RD NE,371209032,73722278,TRANS
P060001214,BIPD,1/3/2006 0:00,0934,12330,ARROW POINT LP NE,369455729,76275280,PROWL4
P060001203,BIPD,1/3/2006 0:00,0916,4725,TAYLOR AV NE,373715311,68770373,THEFT4
P060001144,BIPD,1/3/2006 0:00,0336,22801,PORT GAMBLE RD NE,368997421,87085220,FU
P060001070,BIPD,1/2/2006 0:00,2246,233,SHANNON DR SE,373274914,70664440,TRESP4
P060000707,BIPD,1/2/2006 0:00,0829,,AGATE ST NE / AGATE PASS RD NE,371255666,81235564,BLSGP
P060000440,BIPD,1/1/2006 0:00,1650,,BLAKELY HILL RD NE / TAYLOR AV NE,373711043,68432029,TRAFF3
P060000290,BIPD,1/1/2006 0:00,1130,2241,PLEASANT BEACH DR NE,372190277,67101170,THEFT3
P060000253,BIPD,1/1/2006 0:00,0854,11027,ROLLING BAY WALK NE,374701834,75087173,TRAFF3
P060000252,BIPD,1/1/2006 0:00,0850,,FERNCLIFF AV NE / KLICKITAT PL NE,373978414,71577824,T
P060000094,BIPD,1/1/2006 0:00,0126,8028,NE HIDDEN COVE RD,371749334,78449818,T
P060000078,BIPD,1/1/2006 0:00,0106,,NE DAY RD E / STATE HY 305 NE,371936193,76953219,T
P060001791,BIPD,1/4/2006 0:00,1113,,N MADISON AV NE / STATE HY 305 NE,373058406,74099172,T
P060002044,BIPD,1/4/2006 0:00,1745,8280,NE BAKER HILL RD,371660887,68889975,SFR
P060001696,BIPD,1/4/2006 0:00,0823,,MADISON AV N / WYATT WY NE,373169414,71264069,BURGL4
P060002424,BIPD,1/5/2006 0:00,1330,253,HIGH SCHOOL RD NE,373354247,72072644,THEFT4
P060002478,BIPD,1/5/2006 0:00,1541,8555,MADISON AV N,373195561,72573666,T
P060001665,BIPD,1/4/2006 0:00,0603,300,SHEPARD WY NW,373039763,71071248,SUSPI3
P060001579,BIPD,1/3/2006 0:00,2205,,NE HIDDEN COVE RD / STATE HY 305 NE,371066568,78207718,T
P060001548,BIPD,1/3/2006 0:00,2055,,NE HIGH SCHOOL RD / MADISON AV N,373186870,72101017,T
P060001411,BIPD,1/3/2006 0:00,1603,9125,SPORTSMAN CLUB RD NE,372731463,73257346,T
P060001348,BIPD,1/3/2006 0:00,1357,1220,HILDEBRAND LN NE,373519712,72038848,MVC4
P060000696,BIPD,1/2/2006 0:00,0747,,BLAKELY AV NE / NE HALLS HILL RD,373702478,67814324,TRAFF3
P060002496,BIPD,1/5/2006 0:00,1613,,SIVERTSON RD NE / NE WEST PORT MADISON RD,371738134,79349922,TRAFF3
P060002444,BIPD,1/5/2006 0:00,1438,8832,FERNCLIFF AV NE,374010879,72900435,FU
P060002418,BIPD,1/5/2006 0:00,1314,625,WINSLOW WY E,373698391,70849225,FU
P060002390,BIPD,1/5/2006 0:00,1234,,NE HIGH SCHOOL RD / MADISON AV N,373186870,72101017,T
P060002091,BIPD,1/4/2006 0:00,1933,11815,MILLER RD NE,370958750,75977040,SUSPI4
P060002063,BIPD,1/4/2006 0:00,1817,,INFO BREMERTON SUN,381763017,65947512,MEDIA
P060000693,BIPD,1/2/2006 0:00,0740,10110,NE ROBERTS RD,373775920,75685996,FU
P060000656,BIPD,1/2/2006 0:00,0226,12715,MILLER RD NE,371656322,76875488,FI
P060000622,BIPD,1/2/2006 0:00,0050,,N MADISON AV NE / MANITOU BEACH DR NE,373184593,74094042,T
P060000616,BIPD,1/2/2006 0:00,0039,1000,WEAVER AV NE,372374768,71791616,FI
P060001025,BIPD,1/2/2006 0:00,2057,,FLETCHER BAY RD NE / NE HIGH SCHOOL RD,370326666,72148397,T
P060002221,BIPD,1/5/2006 0:00,0147,,PARK AV NE / WILLOW AV NE,374976542,71450878,PC3
P060001970,BIPD,1/4/2006 0:00,1548,8377,NE COUNTY PARK RD,372084196,79748927,THEFT4
P060001892,BIPD,1/4/2006 0:00,1400,1792,BEANS BIGHT NE,375114042,66003096,SUSPI3
P060001825,BIPD,1/4/2006 0:00,1215,,NE SEABOLD CHURCH RD / STATE HY 305 NE,370730374,78974043,TRAFF4
P060001692,BIPD,1/4/2006 0:00,0806,188,ERICKSEN AV NE,373461460,70942967,ALRA
P060001646,BIPD,1/4/2006 0:00,0345,625,WINSLOW WY E,373698391,70849225,FOUND5
P060001372,BIPD,1/3/2006 0:00,1455,,SUNRISE DR NE / NE VALLEY RD,374060618,75278952,ASSIS3
P060002626,BIPD,1/5/2006 0:00,2135,,N MADISON AV NE / NE WINTHERS RD,373267011,76102379,WIRESU
P060002608,BIPD,1/5/2006 0:00,2036,843,GROW AV NW,372874170,71625661,SUSPI3
P060002598,BIPD,1/5/2006 0:00,2021,6565,NE HONEYSUCKLE LN,370175783,75931896,PROWL5
P060002564,BIPD,1/5/2006 0:00,1839,10645,FALK RD NE,374251833,74714554,GUNVI4
P060002491,BIPD,1/5/2006 0:00,1606,,NE KOURA RD / STATE HY 305 NE,372805543,75317290,T
P060002479,BIPD,1/5/2006 0:00,1543,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,372573499,72906261,T
P060000050,BIPD,1/1/2006 0:00,0038,,ERICKSEN AV NE / KNECHTEL WY NE,373473299,71470586,T
P060002353,BIPD,1/5/2006 0:00,1102,,FEATHER LN NW / NELLITA RD NW,343465374,66551876,NARCO5
P060001033,BIPD,1/2/2006 0:00,2104,,FLETCHER BAY RD NE / NE HIGH SCHOOL RD,370326666,72148397,T
P060000985,BIPD,1/2/2006 0:00,1911,,NE MORGAN RD / STATE HY 305 NE,372626504,75719196,T
P060002550,BIPD,1/5/2006 0:00,1808,,STATE HY 305 NE / WINSLOW WY E,373680319,70849352,RECKL4
P060002571,BIPD,1/5/2006 0:00,1857,5834,WARD AV NE,373679050,69871970,WC3
P060001191,BIPD,1/3/2006 0:00,0856,,NE NEW BROOKLYN RD / SANDS AV NE,371595366,72944166,T
P060000595,BIPD,1/1/2006 0:00,2319,,GROW / PAR%,0,0,T
P060000558,BIPD,1/1/2006 0:00,2130,,STATE HY 305 NE / VINEYARD LN,373611587,71266285,T
P060000519,BIPD,1/1/2006 0:00,1941,8832,FERNCLIFF AV NE,374010879,72900435,THREA4
P060002497,BIPD,1/5/2006 0:00,1614,,NE MORNING LN / SUNRISE DR NE,374135416,79012356,SUSPI3
P060001762,BIPD,1/4/2006 0:00,1022,190,MADISON AV N,373162274,70987133,ASSIS4
P060001697,BIPD,1/4/2006 0:00,0823,499,MADISON AV N,373169405,71263695,BURGL4
P060001396,BIPD,1/3/2006 0:00,1539,,NE BERGMAN RD / MILLER RD NE,371315772,76567232,T
P060001346,BIPD,1/3/2006 0:00,1354,,FINCH PL SW / WINSLOW WY W,373072000,70870258,ASSIS4
P060001079,BIPD,1/2/2006 0:00,2304,499,OLYMPIC DR SE,373905264,70637166,PC3
P060001040,BIPD,1/2/2006 0:00,2116,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,373493965,72070207,T
P060002607,BIPD,1/5/2006 0:00,2034,225,NE HIGH SCHOOL RD,373060315,72080318,T
P060002705,BIPD,1/6/2006 0:00,0150,11700,MEADOWMEER CR NE,372199977,75652624,FI
