call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P120002497,BIPD,1/5/2012 0:00,1332,9330,NE HIGH SCHOOL RD,122363800,23666100,RETURN
P120002433,BIPD,1/5/2012 0:00,1146,9343,SPORTSMAN CLUB RD NE,122337100,24132500,MISSI3
P120002467,BIPD,1/5/2012 0:00,1245,11522,MEADOWMEER CIR NE,122044168,24821899,ALRA
P120001234,BIPD,1/3/2012 0:00,1021,4569,LYNWOOD CENTER RD NE,121750700,22509200,SUSPI4
P120001182,BIPD,1/3/2012 0:00,0843,,FLETCHER BAY RD NE / NE HIGH SCHOOL RD,121498530,23670902,T
P120001043,BIPD,1/2/2012 0:00,2248,,STRAWBERRY LN NW / WEAVER RD NW,122170040,23516735,T
P120002641,BIPD,1/5/2012 0:00,1657,711,VILLAGE CIR NW,122196450,23412950,FRAUD4
P120002574,BIPD,1/5/2012 0:00,1522,,ERICKSEN AVE NE / WINSLOW WAY E,122525612,23245942,T
P120002499,BIPD,1/5/2012 0:00,1334,669,ALFORD PL NW,122243300,23582400,SFR
P120002476,BIPD,1/5/2012 0:00,1300,253,HIGH SCHOOL RD NE,122470100,23646300,SHOPL4
P120002483,BIPD,1/5/2012 0:00,1314,835,MADISON AVE N,122415100,23498500,T
P120001096,BIPD,1/3/2012 0:00,0246,15566,SANDY HOOK RD NE,120956750,26168550,ASSIS3
P120001076,BIPD,1/3/2012 0:00,0057,10102,EDGECOMBE PL NE,122508750,24293900,PROWL2
P120001062,BIPD,1/3/2012 0:00,0014,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,121365750,23936543,FI
P120000472,BIPD,1/1/2012 0:00,2021,7666,NE HIGH SCHOOL RD,121802600,23667700,FI
P120000446,BIPD,1/1/2012 0:00,1912,,HILDEBRAND LN NE / TORMEY LN NE,122534254,23589670,UNWAN3
P120000410,BIPD,1/1/2012 0:00,1801,6705,NE DAPPLE CT,121438000,22443150,ALRA
P120000362,BIPD,1/1/2012 0:00,1531,,GILMORE WAY NE / WINSLOW WAY E,122615981,23254352,CELL
P120001857,BIPD,1/4/2012 0:00,1147,253,HIGH SCHOOL RD NE,122470100,23646300,T
P120001784,BIPD,1/4/2012 0:00,0927,204,MADRONA WAY NE,122445481,23356538,WC3
P120001767,BIPD,1/4/2012 0:00,0844,,"XY(122552272,23583747)",122552272,23583747,CELL
