call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P080002325,BIPD,1/5/2008 0:00,0208,,NE HIDDEN COVE RD / PHELPS RD NE,373192943,78586778,TRAFF3
P080002257,BIPD,1/4/2008 0:00,2354,465,WINSLOW WAY E,373752231,70915749,FU
P080002076,BIPD,1/4/2008 0:00,1813,,NE DAY RD E / N MADISON AVE NE,373527095,76968082,T
P080001549,BIPD,1/3/2008 0:00,2036,1200,WING POINT WAY NE,374531178,71306520,FI
P080001512,BIPD,1/3/2008 0:00,1902,10220,NE YAQUINA,374117385,73233800,CIVIL4
P080001296,BIPD,1/3/2008 0:00,1132,16191,AGATE PASS RD NE,371200748,80438994,VEHFI
P080002366,BIPD,1/5/2008 0:00,0620,,NE HIDDEN COVE RD / NE SELFORS LN,372362332,78612838,TRAFF3
P080002378,BIPD,1/5/2008 0:00,0733,7736,NE NORTH ST,371746451,81235661,FU
P080002386,BIPD,1/5/2008 0:00,0804,9768,NE MURDEN COVE DR,373677605,74144019,FU
P080002280,BIPD,1/5/2008 0:00,0042,,NE DAY RD E / STATE HWY 305 NE,372176008,77016750,T
P080002255,BIPD,1/4/2008 0:00,2351,,EAGLE HARBOR DR NE / NEW SWEDEN AVE NE,373776299,69721228,TRAFF3
P080002205,BIPD,1/4/2008 0:00,2220,,N MADISON AVE NE / STATE HWY 305 NE,373298221,74162703,T
P080002414,BIPD,1/5/2008 0:00,0929,10495,NE FENTON RD,374478315,72868272,FU
P080002155,BIPD,1/4/2008 0:00,2050,,NE HIGH SCHOOL RD / WEAVER AVE NE,372619157,72170058,T
P080002123,BIPD,1/4/2008 0:00,1932,5446,WELFARE AVE NE,374376147,69598585,FU
P080002047,BIPD,1/4/2008 0:00,1734,16675,MARINER AVE NE,371108748,80831696,THEFT4
P080002000,BIPD,1/4/2008 0:00,1615,8796,NE DAY RD E,372701081,76995194,DOAA
P080001470,BIPD,1/3/2008 0:00,1727,,STATE HWY 305 NE / VINEYARD LN,373851402,71329816,TRAFF3
P080001544,BIPD,1/3/2008 0:00,2019,,AZALEA AVE NE / NE WING POINT WAY,374746295,71301131,FIREW4
P080001334,BIPD,1/3/2008 0:00,1304,225,HIGH SCHOOL RD NW,373115544,72150033,THEFT4
P080001337,BIPD,1/3/2008 0:00,1306,225,HIGH SCHOOL RD NW,373115544,72150033,THEFT4
P080001250,BIPD,1/3/2008 0:00,0946,625,WINSLOW WAY E,373938206,70912756,FU
P080001070,BIPD,1/2/2008 0:00,2130,12699,VISTA DR NE,373167847,76872839,T
P080001057,BIPD,1/2/2008 0:00,2113,15347,SUQUAMISH WAY NE,369859825,80792501,T
P080001270,BIPD,1/3/2008 0:00,1041,,ERICKSEN AVE NE / WINSLOW WAY E,373699185,70916659,PC3
P080000957,BIPD,1/2/2008 0:00,1755,7205,NE BERGMAN RD,371105682,76644254,SUSPI3
P080000945,BIPD,1/2/2008 0:00,1725,,ERICKSEN AVE NE / WALLACE WAY NE,373719424,71733289,UNKNO3
P080000921,BIPD,1/2/2008 0:00,1646,,NE SEABOLD CHURCH RD / STATE HWY 305 NE,370970189,79037574,FU
P080000692,BIPD,1/2/2008 0:00,0918,625,WINSLOW WAY E,373938206,70912756,WRT4
P080000653,BIPD,1/2/2008 0:00,0639,,BLAKELY AVE NE / NE BUCKLIN HILL RD,371860906,70580270,T
