call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P09000225B6IPD,,1/4/2009 0:00,2314,1200,HILDEBRAND LN NE,122535193,23631897,ALRA
P09000208B9IPD,,1/4/2009 0:00,1919,,MADISON AVE N / STATE HWY 305 NE,122472543,23963078,MVC3
P09000207B2IPD,,1/4/2009 0:00,1901,,NE ADAS WILL LN / STATE HWY 305 NE,121518898,26215422,MVC3
P09000202B8IPD,,1/4/2009 0:00,1819,,STATE HWY 305 NE / VINEYARD LN,122556963,23457347,TRAFF3
P09000201B1IPD,,1/4/2009 0:00,1802,,NE EAGLE HARBOR DR / WIMSEY AVE NE,122226061,22914354,TRAFF3
P09000060B1IPD,,1/2/2009 0:00,0738,,N MADISON AVE NE / SPORTSMAN CLUB RD NE,122395136,24298387,T
P09000238B6IPD,,1/5/2009 0:00,0800,,NE BUCKLIN HILL RD / NE EAGLE HARBOR DR,121966131,23304962,MISC3
P09000212B1IPD,,1/4/2009 0:00,1943,,MCDONALD AVE NE / NE OLD MILL RD,122281102,22614125,TRAFF3
P09000219B2IPD,,1/4/2009 0:00,2135,,SUNRISE DR NE / NE SUNRISE BLF,122742198,25679587,TRAFF3
P09000220B2IPD,,1/4/2009 0:00,2150,,SUNRISE DR NE / NE SUNRISE BLF,122742198,25679587,TRAFF3
P09000226B2IPD,,1/4/2009 0:00,2329,,NE HIGH SCHOOL RD / SANDS AVE NE,121907925,23666959,TRAFF3
P09000303B8IPD,,1/6/2009 0:00,1137,625,WINSLOW WAY E,122603318,23237267,FRAUD4
P09000307B2IPD,,1/6/2009 0:00,1233,,NE NEW BROOKLYN RD / SANDS AVE NE,121914537,23931258,WIRESF
P09000244B8IPD,,1/5/2009 0:00,0954,,NE BUCKLIN HILL RD / FLETCHER BAY RD NE,121726765,23138293,TRAFF3
P09000237B8IPD,,1/5/2009 0:00,0740,,NE BATTLE POINT DR / MILLER RD NE,121350327,24126968,IMPOU4
P09000232B8IPD,,1/5/2009 0:00,0302,825,HIGH SCHOOL RD NE,122670692,23642244,NOISE4
P09000223B2IPD,,1/4/2009 0:00,2239,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741136,25661125,TRAFF3
P09000138B3IPD,,1/3/2009 0:00,1346,11070,NE WING POINT DR,123009289,23234977,FU
P09000217B8IPD,,1/4/2009 0:00,2114,6934,NE BAKER HILL RD,121540206,22611260,WIRESU
P09000255B7IPD,,1/5/2009 0:00,1316,403,MADISON AVE N,122429561,23358302,THEFT4
P09000262B6IPD,,1/5/2009 0:00,1531,8195,NE BUCKLIN HILL RD,121924348,23191609,FU
P09000159B3IPD,,1/3/2009 0:00,2231,6586,NE MAXWELL LN,121429302,24068903,FU
P09000186B4IPD,,1/4/2009 0:00,1422,1108,WING POINT WAY NE,122778246,23373412,ALRU
P09000307B3IPD,,1/6/2009 0:00,1234,,ARROW POINT DR NE / MILLER RD NE,121550644,24644417,TRAFF3
P09000183B4IPD,,1/4/2009 0:00,1245,301,HIGH SCHOOL RD NE,122491536,23645882,WC911
P09000335B5IPD,,1/6/2009 0:00,2036,,NE MCWILLIAMS RD / STATE HWY 303 NE,119765137,23182036,TRAFF3
P09000180B1IPD,,1/4/2009 0:00,1049,280,MADISON AVE N,122428721,23304765,ALRA
P09000137B5IPD,,1/3/2009 0:00,1324,,FLETCHER BAY RD NE / ISLAND CENTER RD NE,121639712,23516206,T
P09000178B6IPD,,1/4/2009 0:00,1007,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,FI
P09000176B4IPD,,1/4/2009 0:00,0831,,STATE HWY 305 NE / VINEYARD LN,122556963,23457347,FI
P09000135B9IPD,,1/3/2009 0:00,1208,8808,MADISON AVE N,122442193,23911428,KEEP4
P09000125B9IPD,,1/3/2009 0:00,0714,,NE HIGH SCHOOL RD / LOVELL AVE NW,122305944,23652365,TRAFF3
P09000359B2IPD,,1/7/2009 0:00,1008,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322118,24094785,T
P09000358B2IPD,,1/7/2009 0:00,0953,219,MADISON AVE S,122426919,23219253,THEFT4
P09000186B8IPD,,1/4/2009 0:00,1448,,STATE HWY 305 NE / WINSLOW WAY E,122597069,23245490,T
P09000137B8IPD,,1/3/2009 0:00,1331,268,WINSLOW WAY E,122483124,23253099,ASSIS4
P09000135B8IPD,,1/3/2009 0:00,1206,8200,SPORTSMAN CLUB RD NE,122132169,23726994,T
P09000357B3IPD,,1/7/2009 0:00,0940,11611,BATTLE POINT DR NE,121009007,24850320,CHILD4
P09000131B8IPD,,1/3/2009 0:00,1036,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,T
P09000118B7IPD,,1/3/2009 0:00,0131,,NE CARMELLA LN / FINCH RD NE,122038267,23529659,T
P09000145B3IPD,,1/3/2009 0:00,1633,200,WINSLOW WAY E,122461213,23248350,FU
P09000377B7IPD,,1/7/2009 0:00,1530,,HYLA AVE NE / NE VALLEY RD,122656499,24699068,WIRESU
P09000380B4IPD,,1/7/2009 0:00,1628,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571082,23644469,FU
P09000385B2IPD,,1/7/2009 0:00,1809,13253,TEEM LOOP RD NE,121987966,25454087,DV3
P09000386B0IPD,,1/7/2009 0:00,1834,625,WINSLOW WAY E,122603318,23237267,ASSIS4
P09000112B1IPD,,1/2/2009 0:00,2315,625,WINSLOW WAY E,122603318,23237267,WRT3
P09000137B4IPD,,1/3/2009 0:00,1322,1118,AARON AVE,122849369,23581713,FU
P09000344B4IPD,,1/7/2009 0:00,0114,,NE HIGH SCHOOL RD / WESTERLY LN NE,121872133,23667388,OPEN3
P09000346B9IPD,,1/7/2009 0:00,0244,,NE FOSTER RD / HANSEN RD NE,121047595,23877770,T
