call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P150002351,BIPD,1/5/2015 0:00,2014,,STATE HWY 305 NE / WINSLOW WAY E,122597069,23245490,RECKL2
P150002334,BIPD,1/5/2015 0:00,1944,907,CARVER ST,118435000,20790500,MEDIA
P150001578,BIPD,1/4/2015 0:00,0753,,WEAVER RD NW / WYATT WAY NW,122167956,23391345,T
P150001467,BIPD,1/3/2015 0:00,2216,18132,CHERRY TREE LN NE,121699600,27010650,ASSIS2
P150001183,BIPD,1/3/2015 0:00,1039,907,CARVER ST,118435000,20790500,MEDIA
P150001026,BIPD,1/2/2015 0:00,2320,,STATE HWY 305 NE / NE WEST PORT MADISON RD,121590699,26041540,T
P150000849,BIPD,1/2/2015 0:00,1658,,MADISON AVE N / STATE HWY 305 NE,122472543,23963078,DUI3
P150000738,BIPD,1/2/2015 0:00,1351,,NE DAY RD E / NE YETI LN,122025071,25272959,CELL
P150000649,BIPD,1/2/2015 0:00,1048,248,WINSLOW WAY E,122477475,23247901,ASSIS3
P150020696,BIPD,2/8/2015 0:00,1605,,NE LOVGREEN RD E / STATE HWY 305 NE,122193914,24976129,T
P150020664,BIPD,2/8/2015 0:00,1502,,NE DAY RD W / MILLER RD NE,121978357,25249210,T
P150020645,BIPD,2/8/2015 0:00,1433,15446,SUNRISE DR NE,122763600,26092300,PC4
P150002465,BIPD,1/6/2015 0:00,0059,934,HAWLEY WAY NE,122700037,23281374,PC4
P150002412,BIPD,1/5/2015 0:00,2245,,MADISON AVE N / NE NEW BROOKLYN RD,122442200,23911813,TRAFF3
P150001608,BIPD,1/4/2015 0:00,0952,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395136,24298387,T
P150001586,BIPD,1/4/2015 0:00,0833,,STATE HWY 305 NE / NE WEST PORT MADISON RD,121590699,26041540,T
P150001471,BIPD,1/3/2015 0:00,2231,10340,NORTH MADISON AVE NE,122452400,24418800,NOISE4
P150001428,BIPD,1/3/2015 0:00,2006,907,CARVER ST,118435000,20790500,MEDIA
P150001402,BIPD,1/3/2015 0:00,1843,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395136,24298387,INFOP4
P150001385,BIPD,1/3/2015 0:00,1745,,MADISON AVE N / WYATT WAY NE,122430637,23382031,TRAFF3
P150001352,BIPD,1/3/2015 0:00,1652,1121,WING POINT WAY NE,122782713,23373289,DV3
P150001051,BIPD,1/3/2015 0:00,0005,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741136,25661125,T
P150000591,BIPD,1/2/2015 0:00,0753,,MANITOU BEACH DR NE / NORTH MADISON AVE NE,122430015,24309046,FI
P150000586,BIPD,1/2/2015 0:00,0732,10164,MILLER RD NE,121447888,24364882,PC4
P150000508,BIPD,1/1/2015 0:00,2338,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741136,25661125,T
P150000487,BIPD,1/1/2015 0:00,2251,11299,ARROW POINT DR NE,121068800,24696200,PC4
P150000365,BIPD,1/1/2015 0:00,1702,6431,NE EAGLE HARBOR DR,122034950,23151100,RECKL3
P150000205,BIPD,1/1/2015 0:00,0951,11815,MILLER RD NE,121706522,24927683,SEXOF5
P150000141,BIPD,1/1/2015 0:00,0257,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,T
P150020525,BIPD,2/8/2015 0:00,0851,13240,PHELPS RD NE,122100741,25380913,WC4
P150001627,BIPD,1/4/2015 0:00,1048,5546,TAYLOR AVE NE,122698800,22844900,SFR
P150001600,BIPD,1/4/2015 0:00,0926,625,WINSLOW WAY E,122607400,23236100,WC911
P150001446,BIPD,1/3/2015 0:00,2101,,AGATEWOOD RD NE / STATE HWY 305 NE,121562025,26138320,T
P150001304,BIPD,1/3/2015 0:00,1458,,STATE HWY 305 NE / SUQUAMISH WAY NE,121272953,26526622,RECKL3
P150001223,BIPD,1/3/2015 0:00,1154,,BLAKELY AVE NE / THREE T RD NE,122533783,22270189,T
P150001138,BIPD,1/3/2015 0:00,0730,,FLETCHER BAY RD NE / ISLAND CENTER RD NE,121639712,23516206,T
P150001624,BIPD,1/4/2015 0:00,1040,12311,ARROW POINT LOOP NE,121258650,24995200,SUSPI3
P150001602,BIPD,1/4/2015 0:00,0934,1145,HIGH SCHOOL RD NE,122785100,23611850,FU
P150001597,BIPD,1/4/2015 0:00,0906,,MADISON AVE N / STATE HWY 305 NE,122472543,23963078,T
P150001450,BIPD,1/3/2015 0:00,2113,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395136,24298387,T
P150001295,BIPD,1/3/2015 0:00,1435,8795,NE KOURA RD,122198600,24602150,MVCB
P150001219,BIPD,1/3/2015 0:00,1148,6551,FLETCHER BAY RD NE,121696650,23185200,LITTE4
P150001166,BIPD,1/3/2015 0:00,1006,12311,ARROW POINT LOOP NE,121258650,24995200,KEEP4
P150001175,BIPD,1/3/2015 0:00,1020,9550,STATE HWY 305 NE,122397800,24134700,TRAFF4
P150002352,BIPD,1/5/2015 0:00,2018,,"XY(122552273,23583747)",122552273,23583747,CELL
P150001094,BIPD,1/3/2015 0:00,0211,361,WINSLOW WAY E,122507890,23246728,FI
P150002474,BIPD,1/6/2015 0:00,0144,1188,MADISON AVE N,122435585,23603897,PC4
P150000752,BIPD,1/2/2015 0:00,1405,488,WINSLOW WAY E,122551500,23246500,WC3
P150000623,BIPD,1/2/2015 0:00,0951,393,WINSLOW WAY E,122522620,23246076,NARCO4
P150000602,BIPD,1/2/2015 0:00,0838,,NE KOURA RD / MILLER RD NE,121576406,24728795,T
P150000597,BIPD,1/2/2015 0:00,0807,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,T
P150000594,BIPD,1/2/2015 0:00,0756,12055,MILLER RD NE,121757575,25021246,T
P150000479,BIPD,1/1/2015 0:00,2219,13501,MANZANITA RD NE,121404000,25466550,MISSI4
P150002442,BIPD,1/5/2015 0:00,2344,3200,POINT WHITE DR NE,121321501,22095367,T
P150002467,BIPD,1/6/2015 0:00,0102,259,FERNCLIFF AVE NE,122691039,23298019,FI
P150000448,BIPD,1/1/2015 0:00,2042,,MADISON AVE N / WYATT WAY NE,122430637,23382031,TRAFF3
P150000418,BIPD,1/1/2015 0:00,1923,299,SHANNON DR SE,122508700,23164500,INTOX3
P150000207,BIPD,1/1/2015 0:00,0955,18945,NE MEADOW RUN DR,120089750,27321200,FU
P150000163,BIPD,1/1/2015 0:00,0537,18480,SUQUAMISH WAY NE,121557700,27040300,T
P150000815,BIPD,1/2/2015 0:00,1600,2978,PLEASANT BEACH DR NE,122163950,22059550,THEFT4
P150000743,BIPD,1/2/2015 0:00,1354,12311,ARROW POINT LOOP NE,121258650,24995200,THREA4
P150000740,BIPD,1/2/2015 0:00,1352,6401,HALEY LOOP NE,121819050,23158250,ALRP
P150000708,BIPD,1/2/2015 0:00,1255,208,HIGH SCHOOL RD NE,122478900,23646100,T
P150000651,BIPD,1/2/2015 0:00,1050,380,WINSLOW WAY E,122507500,23253200,BLSP
P150000638,BIPD,1/2/2015 0:00,1026,307,ERICKSEN AVE NE,122508350,23319100,FU
P150020669,BIPD,2/8/2015 0:00,1511,,NE DAY RD W / MILLER RD NE,121978357,25249210,T
P150020531,BIPD,2/8/2015 0:00,0927,,"XY(121282990,24791158)",121282990,24791158,CELL
P150020500,BIPD,2/8/2015 0:00,0552,13240,PHELPS RD NE,122100741,25380913,MENTA4
P150020446,BIPD,2/8/2015 0:00,0201,13900,TOAD HOLLER PL NE,121694350,25579300,SUSPI3
P150020418,BIPD,2/8/2015 0:00,0025,1063,HIGH SCHOOL RD NE,122762116,23628076,T
