call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P070002162,BIPD,1/4/2007 0:00,2311,,MCDONALS HI SHCOOL,374260472,71026475,T
P070002149,BIPD,1/4/2007 0:00,2242,,N MADISON AV NE / STATE HY 305 NE,373298221,74162703,T
P070002097,BIPD,1/4/2007 0:00,2110,625,WINSLOW WY E,373938206,70912756,TRANS
P070002126,BIPD,1/4/2007 0:00,2205,,NE DAY RD E / STATE HY 305 NE,372176008,77016750,T
P070002078,BIPD,1/4/2007 0:00,2036,972,HAWLEY WY NE,374260472,71026475,SUSPI3
P070002049,BIPD,1/4/2007 0:00,1936,5330,MCDONALD AV NE,372968666,69451150,WC911
P070001952,BIPD,1/4/2007 0:00,1609,341,SHEPARD WY NW,373217817,71137866,ALRS
P070001927,BIPD,1/4/2007 0:00,1516,,MILLER RD NE / PETERSON HILL RD NE,371086165,75886417,T
P070001917,BIPD,1/4/2007 0:00,1459,,NE KOURA RD / MEADOWMEER CR NE,372027936,75412158,T
P070001780,BIPD,1/4/2007 0:00,1044,,NE DAY RD E / N MADISON AV NE,373527095,76968082,T
P070001728,BIPD,1/4/2007 0:00,0926,,NE HIGH SCHOOL RD / STATE HY 305 NE,373830218,72132409,T
P070001584,BIPD,1/3/2007 0:00,2320,,ALMA PL NE / NE SEABOLD RD,370771137,79439830,T
P07000015,BIPD,1/1/2007 0:00,0016,,NE MORGAN RD / STATE HY 305 NE,372866319,75782727,T
P070001588,BIPD,1/3/2007 0:00,2334,,NE DAY RD E / STATE HY 305 NE,372176008,77016750,T
P070001667,BIPD,1/4/2007 0:00,0657,,OLYMPIC DR SE / STATE HY 305 NE,373920134,70912883,T
P07000330,BIPD,1/1/2007 0:00,1714,7988,NE LOVGREEN RD W,371829477,76308417,FIREW4
P07000308,BIPD,1/1/2007 0:00,1554,10800,MILLER RD NE,370572274,74737975,TRAFF3
P07000267,BIPD,1/1/2007 0:00,1336,10800,MILLER RD NE,370572274,74737975,MVCA
P070001570,BIPD,1/3/2007 0:00,2235,245,HIGH SCHOOL RD NE,373586432,72136308,FU
P07000080,BIPD,1/1/2007 0:00,0154,,NE BAY HILL RD / MILLER RD NE,371048004,75837079,T
P07000046,BIPD,1/1/2007 0:00,0105,,NE HIGH SCHOOL RD / MADISON AV N,373426685,72164548,T
P070002180,BIPD,1/4/2007 0:00,2341,,MADISON AV N / WYATT WY NE,373409229,71327600,T
P07000340,BIPD,1/1/2007 0:00,1755,7251,MADRONA DR NE,375417162,71476875,ALRA
P07000335,BIPD,1/1/2007 0:00,1726,9999,MANITOU BEACH DR NE,374054670,74258914,SUICIA
P07000022,BIPD,1/1/2007 0:00,0028,206,KNECHTEL WY NE,373521080,71530086,FIREW4
P070002204,BIPD,1/5/2007 0:00,0115,,MILLER RD NE / NE NEW BROOKLYN RD,370160335,73020096,FI
P070002177,BIPD,1/4/2007 0:00,2329,226,GROW AV NW,373104278,71069466,SUSPI3
P070002135,BIPD,1/4/2007 0:00,2219,8595,NE DAY RD E,372482329,77004514,T
P070002057,BIPD,1/4/2007 0:00,1951,625,WINSLOW WY E,373938206,70912756,FRAUD4
P070002002,BIPD,1/4/2007 0:00,1745,7316,NE BERGMAN RD,371207581,76641202,FU
P070001923,BIPD,1/4/2007 0:00,1512,625,WINSLOW WY E,373938206,70912756,T
P070001920,BIPD,1/4/2007 0:00,1504,,STATE HY 305 NE / WINSLOW WY E,373920134,70912883,T
P070001819,BIPD,1/4/2007 0:00,1202,435,ERICKSEN AV NE,373707078,71256222,DV3
P070001705,BIPD,1/4/2007 0:00,0840,5937,NE BAKER HILL RD,369664476,68791187,ALRA
P070001681,BIPD,1/4/2007 0:00,0753,10135,MANITOU BEACH DR NE,374246146,74402016,PC4
P070001452,BIPD,1/3/2007 0:00,1821,400,WINSLOW WY E,373699596,70916653,SEXOF4
