Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,195 BOSTON POST ROAD WEST @ 139 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,17:12,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,2
,,LARCENY,,Services Rendered- PD,No,,521 FARM RD,Marlborough,,,Marlborough PD,,18:24,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,2
,,Medical,,Services Rendered- FD,No,,121 NORTHBORO ROAD EAST Apt. #315,Marlborough,,,Marlborough PD,,18:34,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,500 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,18:40,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,2
,,Motor Vehicle Accident I I,,Services Rendered- FD,No,,6 WALKER ST @ 418 MAPLE ST,Marlborough,,,Marlborough PD,,18:42,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,418 MAPLE ST,Marlborough,,,Marlborough PD,,18:43,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,2
,,Medical,,Services Rendered- FD,No,,90 ONAMOG ST,Marlborough,,,Marlborough PD,,18:55,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,DPW Called Out,,Services Rendered- PD,No,,418 MAPLE ST @ 6 WALKER ST,Marlborough,,,Marlborough PD,,18:59,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,TRAFFIC CONTROL,,Unfounded,No,,160 WILSON ST,Marlborough,,,Marlborough PD,,19:04,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,Well being check,,Services Rendered- PD,No,,12 FARMHOUSE LN Apt. #5,Marlborough,,,Marlborough PD,,19:22,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,Medical,,Services Rendered- FD,No,,12 FARMHOUSE LN Apt. #5,Marlborough,,,Marlborough PD,,19:25,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,Medical,,Services Rendered- FD,No,,43 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,19:56,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,43 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,19:57,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,Well being check,,Unfounded,No,,277 WEST MAIN ST,Marlborough,,,Marlborough PD,,20:11,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,Medical,,Services Rendered- FD,No,,6 FARMHOUSE LN Apt. #3,Marlborough,,,Marlborough PD,,20:43,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,LAVISH NAILS & SPA - 193B BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,22:34,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,3
