Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,349 BIGELOW ST,Marlborough,,,Marlborough PD,,07:59,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,145 AMES ST,Marlborough,,,Marlborough PD,,08:14,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,145 AMES ST,Marlborough,,,Marlborough PD,,08:15,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,140 MAIN ST,Marlborough,,,Marlborough PD,,08:33,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,500 NICKERSON RD Apt. #201,Marlborough,,,Marlborough PD,,08:39,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,62 VICTORIA LN,Marlborough,,,Marlborough PD,,08:40,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,62 VICTORIA LN,Marlborough,,,Marlborough PD,,08:40,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,190 LIBERTY ST,Marlborough,,,Marlborough PD,,08:55,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,500 NICKERSON RD Apt. #201,Marlborough,,,Marlborough PD,,09:26,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:32,,,02/16/2021,Call_Log_February_16_2021_to_February_17_2021.pdf,1
