Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,410 LAKESIDE AVE,Marlborough,,,Marlborough PD,,07:04,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,50 GIBBONS ST,Marlborough,,,Marlborough PD,,07:19,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,Harassment,,Report,Yes,,SPOONHILL AVE,Marlborough,,,Marlborough PD,,07:30,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,181 BOSTON POST ROAD WEST Apt. #656,Marlborough,,,Marlborough PD,,07:34,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,BEACH ST,Marlborough,,,Marlborough PD,,08:06,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,11 NEWTON ST @ 105 GRANGER BLVD,Marlborough,,,Marlborough PD,,08:15,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,199 FOREST ST,Marlborough,,,Marlborough PD,,08:21,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:22,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,47 O'MALLEY RD,Marlborough,,,Marlborough PD,,08:25,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,Harassment,,Report,Yes,,431 LINCOLN ST,Marlborough,,,Marlborough PD,,08:27,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,603 BRIGHAM ST,Marlborough,,,Marlborough PD,,08:30,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,412 SOUTH ST,Marlborough,,,Marlborough PD,,08:46,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,529 BOSTON POST ROAD EAST @ 815 FARM RD,Marlborough,,,Marlborough PD,,09:15,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,Well being check,,Report,Yes,,85 NEWTON ST,Marlborough,,,Marlborough PD,,09:31,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,300 VALUE WAY,Marlborough,,,Marlborough PD,,10:51,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,32 WORSTER DR,Marlborough,,,Marlborough PD,,10:52,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,11:18,,,07/24/2018,Call_Log_July_24_2018_to_July_25_2018.pdf,1
