Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,449 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:22,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,447 BOSTON POST ROAD EAST Apt. #16,Marlborough,,,Marlborough PD,,08:02,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,447 BOSTON POST ROAD EAST Apt. #16,Marlborough,,,Marlborough PD,,08:02,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:17,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:26,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:30,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,SERVE WARRANT,,Arrest(s) Made,Yes,20-29-AR,4 APTS - 196 WEST MAIN ST Apt. #3,Marlborough,,,Marlborough PD,,08:48,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,LARCENY,,Report,Yes,,300 CEDAR HILL ST,Marlborough,,,Marlborough PD,,09:44,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Threats,,Report,Yes,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,10:12,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,244 MECHANIC ST Apt. #1,Marlborough,,,Marlborough PD,,10:42,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Well being check,,Services Rendered- PD,No,,244 MECHANIC ST Apt. #1,Marlborough,,,Marlborough PD,,10:43,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,10:53,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,406 HEMENWAY ST Apt. #6130,Marlborough,,,Marlborough PD,,11:13,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,406 HEMENWAY ST Apt. #6130,Marlborough,,,Marlborough PD,,11:14,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #316,Marlborough,,,Marlborough PD,,11:39,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,22 BROAD ST Apt. #316,Marlborough,,,Marlborough PD,,11:39,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,Threats,,Services Rendered- PD,No,,601 DONALD J. LYNCH BLVD Apt. #N161A,Marlborough,,,Marlborough PD,,11:47,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,SHOPLIFTING,,Report,Yes,,769 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,11:55,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,AUTO THEFT,,No Action Required,No,,500 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,12:09,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,1
,,DISTURBANCE,,Report,Yes,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,12:15,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,Fraud / Forgery,,Report,Yes,,88 SUNSHINE DR,Marlborough,,,Marlborough PD,,12:17,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,23 SOUTH BOLTON ST,Marlborough,,,Marlborough PD,,12:48,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,AUTO THEFT,,Report,Yes,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,12:48,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,49 HOSMER ST,Marlborough,,,Marlborough PD,,13:00,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,413 LAKESIDE AVE,Marlborough,,,Marlborough PD,,13:04,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,13:19,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,SOLICITING,,Unfounded,No,,110 RIDGE RD,Marlborough,,,Marlborough PD,,13:56,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,DISTURBANCE,,Services Rendered- PD,No,,40 ROYAL CREST DR Apt. #3,Marlborough,,,Marlborough PD,,13:58,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,297 LINCOLN ST,Marlborough,,,Marlborough PD,,14:30,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,Medical,,Transported to Hospital,No,,51 CHRISTIE WAY Apt. #53K,Marlborough,,,Marlborough PD,,15:09,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,520 FARM RD,Marlborough,,,Marlborough PD,,15:33,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,50 GIBBONS ST,Marlborough,,,Marlborough PD,,15:43,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #222,Marlborough,,,Marlborough PD,,16:14,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #222,Marlborough,,,Marlborough PD,,16:15,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,LAKESIDE AVE,Marlborough,,,Marlborough PD,,16:15,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,ROBBERY,,Report,Yes,,485 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,16:19,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,597 PLEASANT ST @ 17 FITCHBURG ST,Marlborough,,,Marlborough PD,,16:37,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,46 MAIN ST,Marlborough,,,Marlborough PD,,16:48,,,01/17/2020,Call_Log_January_17_2020_to_January_21_2020.pdf,2
