Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Medical Assistance Rendered,No,,42 BRIARWOOD LN Apt. #3,Marlborough,,,Marlborough PD,,07:12,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,Well being check,,Services Rendered- PD,No,,588 BOLTON ST,Marlborough,,,Marlborough PD,,07:15,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,401 ELM ST,Marlborough,,,Marlborough PD,,07:16,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,ASSIST OTHER AGENCY,,Services,No,,8 ROYAL CREST DR Apt. #3,Marlborough,,,Marlborough PD,,10:01,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,319 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,10:12,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,ASSIST OTHER AGENCY,,Services,No,,177 CHESTNUT ST,Marlborough,,,Marlborough PD,,10:30,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,ASSIST OTHER AGENCY,,Services,No,,182 CHESTNUT ST,Marlborough,,,Marlborough PD,,10:41,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,413 LAKESIDE AVE,Marlborough,,,Marlborough PD,,10:45,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #113,Marlborough,,,Marlborough PD,,11:07,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,400 HEMENWAY ST Apt. #113,Marlborough,,,Marlborough PD,,11:08,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,Fraud / Forgery,,Services Rendered- PD,No,,119 MAPLEWOOD AVE Apt. #2,Marlborough,,,Marlborough PD,,11:31,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,911 Hangup/Call,,Building Checked/Secured,No,,14 ROYAL CREST DR,Marlborough,,,Marlborough PD,,12:10,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
,,"Fire, CO Alarm",,Services Rendered- FD,No,,16 SHAWMUT AVE,Marlborough,,,Marlborough PD,,12:58,,,04/07/2020,Call_Log_April_7_2020_to_April_8_2020.pdf,1
