Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,333 EAST MAIN ST @ 10 COOK LN,Marlborough,,,Marlborough PD,,07:08,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,85 BOLTON ST @ 136 LINCOLN ST,Marlborough,,,Marlborough PD,,07:16,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,1 EAST MAIN ST @ 2 MAIN ST,Marlborough,,,Marlborough PD,,08:09,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:26,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,40 BICKNELL ST,Marlborough,,,Marlborough PD,,08:29,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Private Tow,,Private tow,No,,302 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,08:39,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,CRIMINAL COMPLAINT,Yes,,PARMENTER RD,Marlborough,,,Marlborough PD,,09:02,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:22,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,300 HOSMER ST,Marlborough,,,Marlborough PD,,09:28,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Sex Offender Registration,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,10:10,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,ASSIST OTHER AGENCY,,Unfounded,No,,688 BOSTON POST ROAD EAST Apt. #328,Marlborough,,,Marlborough PD,,10:13,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,74 GRANGER BLVD @ 26 AMES PL,Marlborough,,,Marlborough PD,,10:17,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,21 APEX DR Apt. #3A,Marlborough,,,Marlborough PD,,10:32,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,PARKING GARAGE BEHIND SULLY'S - NEWTON ST,Marlborough,,,Marlborough PD,,10:50,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,123 BROAD ST Apt. #1,Marlborough,,,Marlborough PD,,11:12,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,15 CRESTWOOD LN,Marlborough,,,Marlborough PD,,11:21,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,354 PLEASANT ST,Marlborough,,,Marlborough PD,,11:30,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,96 EAST MAIN ST @ 21 FRANCIS ST,Marlborough,,,Marlborough PD,,11:38,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,ASSIST OTHER AGENCY,,Unfounded,No,,67 FITCHBURG ST,Marlborough,,,Marlborough PD,,12:00,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,62 BRIGHAM AVE,Marlborough,,,Marlborough PD,,12:01,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,175 AMES ST @ 277 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,12:24,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,DISTURBANCE,,Report,Yes,,342 LINCOLN ST Apt. #410,Marlborough,,,Marlborough PD,,12:35,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,12:52,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,460 LINCOLN ST,Marlborough,,,Marlborough PD,,13:12,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,DISABLED MV,,Services Rendered- PD,No,,320 ELM ST @ 28 LORD RD,Marlborough,,,Marlborough PD,,13:17,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,27 DUDLEY ST @ 114 EAST DUDLEY ST,Marlborough,,,Marlborough PD,,13:41,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,25 NEWTON ST,Marlborough,,,Marlborough PD,,13:52,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,181 WEST MAIN ST @ 8 GRANGER BLVD,Marlborough,,,Marlborough PD,,13:59,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,413 LAKESIDE AVE,Marlborough,,,Marlborough PD,,14:19,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,14:36,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,15 ELM ST Apt. #1,Marlborough,,,Marlborough PD,,14:43,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,282 EAST MAIN ST @ 1 HOSMER ST,Marlborough,,,Marlborough PD,,14:59,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,DISABLED MV,,Services Rendered- PD,No,,84 BERLIN RD @ 17 DALTON RD,Marlborough,,,Marlborough PD,,15:09,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,GREENWOOD ST,Marlborough,,,Marlborough PD,,15:20,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,186 EAST MAIN ST @ 11 CLINTON ST,Marlborough,,,Marlborough PD,,15:31,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,25 FAIRMOUNT ST @ 78 LIBERTY ST,Marlborough,,,Marlborough PD,,15:38,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,124 GLEN ST,Marlborough,,,Marlborough PD,,16:41,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,100 GRANGER BLVD @ 20 FLORENCE ST,Marlborough,,,Marlborough PD,,16:59,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,90 LINDA CIR,Marlborough,,,Marlborough PD,,17:16,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,460 BOSTON POST ROAD EAST Apt. #B503,Marlborough,,,Marlborough PD,,17:17,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,SANDINI RD,Marlborough,,,Marlborough PD,,17:18,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,SANDINI RD,Marlborough,,,Marlborough PD,,17:32,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,80 NASHOBA DR,Marlborough,,,Marlborough PD,,17:36,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,SANDINI RD,Marlborough,,,Marlborough PD,,18:06,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,36 BOLTON ST @ 17 WASHINGTON ST,Marlborough,,,Marlborough PD,,18:27,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,ABANDONED MV,,Services Rendered- PD,No,,72 HAGER ST,Marlborough,,,Marlborough PD,,18:36,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,19:30,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,193 BOSTON POST ROAD WEST Apt. #C,Marlborough,,,Marlborough PD,,19:40,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,50 D'ANGELO DR Apt. #6,Marlborough,,,Marlborough PD,,19:55,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,DISABLED MV,,Services Rendered- PD,No,,SIMARANO DR,Marlborough,,,Marlborough PD,,20:08,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,ROUTE 495 N,Marlborough,,,Marlborough PD,,20:16,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,Well being check,,Services Rendered- PD,No,,181 BOSTON POST ROAD EAST Apt. #69,Marlborough,,,Marlborough PD,,20:24,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,LARCENY,,Arrest(s) Made,Yes,18-37-AR,769 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,20:46,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,555 MAPLE ST,Marlborough,,,Marlborough PD,,21:01,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #182,Marlborough,,,Marlborough PD,,22:12,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,DISTURBANCE,,Report,Yes,,265 LAKESIDE AVE,Marlborough,,,Marlborough PD,,22:38,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,FIL-A - 36 APEX DR,Marlborough,,,Marlborough PD,,22:41,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,"ALARM, BURGLAR",,No Action Required,No,,319 EAST MAIN ST,Marlborough,,,Marlborough PD,,23:14,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,Private Tow,,Services Rendered- PD,No,,273 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,23:32,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,911 Hangup/Call,,Building Checked/Secured,No,,157 UNION ST,Marlborough,,,Marlborough PD,,23:32,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,"ALARM, HOLD-UP",,Building Checked/Secured,No,,181 BOSTON POST ROAD EAST Apt. #23,Marlborough,,,Marlborough PD,,23:36,,,02/07/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,181 SHAWMUT AVE,Marlborough,,,Marlborough PD,,04:49,,,02/08/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,154 PLEASANT ST @ 104 ELM ST,Marlborough,,,Marlborough PD,,04:59,,,02/08/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,DISTURBANCE,,Report,Yes,,201 LINCOLN ST Apt. #2,Marlborough,,,Marlborough PD,,06:10,,,02/08/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,FIL-A - 36 APEX DR,Marlborough,,,Marlborough PD,,06:11,,,02/08/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,45 SUMMIT AVE,Marlborough,,,Marlborough PD,,06:26,,,02/08/2018,Call_Log_February_7_2018_to_February_8_2018.pdf,4
