Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,DENTAL - 19 MAPLE ST,Marlborough,,,Marlborough PD,,07:12,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,DENTAL - 19 MAPLE ST,Marlborough,,,Marlborough PD,,07:16,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Motor vehicle accident I,,Medical,No,,BOSTON POST ROAD EAST @ MUSTANG AVE,Marlborough,,,Marlborough PD,,07:31,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,547 BOSTON POST ROAD EAST Apt. #B,Marlborough,,,Marlborough PD,,07:32,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,7 PRESTON ST @ 59 ELM ST,Marlborough,,,Marlborough PD,,07:48,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Medical,,Transported to Hospital,No,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:18,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:21,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Fraud / Forgery,,Report,Yes,,126 GREENWOOD ST,Marlborough,,,Marlborough PD,,08:40,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Medical,,Transported to Hospital,No,,39 ROYAL CREST DR Apt. #5,Marlborough,,,Marlborough PD,,08:43,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,39 ROYAL CREST DR Apt. #5,Marlborough,,,Marlborough PD,,08:45,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Harassment,,Report,Yes,,740 FARM RD Apt. #208,Marlborough,,,Marlborough PD,,08:57,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Medical,,Transported to Hospital,No,,24 SETTLERS LN,Marlborough,,,Marlborough PD,,09:15,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,24 SETTLERS LN,Marlborough,,,Marlborough PD,,09:15,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Parking Violation,,Citation/Warning Issued,No,,7 PRESTON ST @ 59 ELM ST,Marlborough,,,Marlborough PD,,09:20,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,Fraud / Forgery,,Report,Yes,,12 FRANKLIN ST,Marlborough,,,Marlborough PD,,09:37,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:46,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,DISTURBANCE,,Report,Yes,,275 WEST MAIN ST Apt. #10,Marlborough,,,Marlborough PD,,10:37,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,116 CHURCH ST @ 52 HILDRETH ST,Marlborough,,,Marlborough PD,,11:19,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,2
,,Parking Violation,,Services Rendered- PD,No,,160 SOUTH ST,Marlborough,,,Marlborough PD,,11:44,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,140 MAIN ST,Marlborough,,,Marlborough PD,,12:04,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,2
,,Parking Violation,,Citation/Warning Issued,No,,28 PARIS ST,Marlborough,,,Marlborough PD,,12:17,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,2
,,MVA WITH INJURIES,,Report,Yes,,640 BOLTON ST,Marlborough,,,Marlborough PD,,12:26,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,2
,,Fraud / Forgery,,Report,Yes,,121 MATHESON DR,Marlborough,,,Marlborough PD,,12:28,,,10/22/2020,Call_Log_October_22_2020_to_October_23_2020.pdf,2
