Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,14 GLEN ST @ 430 LAKESIDE AVE,Marlborough,,,Marlborough PD,,14:29,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,Medical,,Medical Assistance Rendered,No,,432 HEMENWAY ST,Marlborough,,,Marlborough PD,,14:32,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,Private Tow,,Private tow,No,,11 BROOK ST,Marlborough,,,Marlborough PD,,15:08,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,SERVE SUMMONS,,Unfounded,No,,19 BRONTE WAY Apt. #D32,Marlborough,,,Marlborough PD,,15:08,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,Threats,,Report,Yes,,220 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,15:09,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,Well being check,,Services Rendered- PD,No,,397 BOLTON ST Apt. #G4,Marlborough,,,Marlborough PD,,15:11,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,GARABED BLVD @ CATHERINE DR,Marlborough,,,Marlborough PD,,15:28,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Trespassing,,Report,Yes,,815 FARM RD,Marlborough,,,Marlborough PD,,15:44,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,MISSING PERSON,,Services Rendered- PD,No,,175 AMES ST Apt. #4209,Marlborough,,,Marlborough PD,,15:45,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Medical,,Medical Assistance Rendered,No,,85 SILVER LEAF WAY Apt. #24,Marlborough,,,Marlborough PD,,15:54,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,85 SILVER LEAF WAY Apt. #24,Marlborough,,,Marlborough PD,,15:56,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,FOUND/LOST PROPERTY,,No Action Required,No,,14 MOUNT PLEASANT ST Apt. #4,Marlborough,,,Marlborough PD,,16:10,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,16:25,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Ambulance Only,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,16:26,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,220 LINCOLN ST,Marlborough,,,Marlborough PD,,17:09,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,85 SILVER LEAF WAY Apt. #34,Marlborough,,,Marlborough PD,,17:10,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,59 EAST MAIN ST,Marlborough,,,Marlborough PD,,17:26,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Animal Complaint,,Unfounded,No,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,17:40,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Medical,,Medical Assistance Rendered,No,,400 HEMENWAY ST Apt. #174,Marlborough,,,Marlborough PD,,17:52,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #174,Marlborough,,,Marlborough PD,,17:52,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,37 EAST MAIN ST @ 6 SAWIN ST,Marlborough,,,Marlborough PD,,18:13,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,ABANDONED MV,,Unfounded,No,,70 NEWTON ST,Marlborough,,,Marlborough PD,,18:42,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,Eratic Operator,,Services Rendered- PD,No,,BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:50,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,135 WILSON ST,Marlborough,,,Marlborough PD,,20:06,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,3
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,60 GIBBON ST @ 466 LINCOLN ST,Marlborough,,,Marlborough PD,,20:41,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,4
,,Public Assist,,Medical Assistance Rendered,No,,400 HEMENWAY ST Apt. #174,Marlborough,,,Marlborough PD,,20:48,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,4
,,Medical,,Medical Assistance Rendered,No,,402 HEMENWAY ST Apt. #123,Marlborough,,,Marlborough PD,,20:59,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,402 HEMENWAY ST Apt. #123,Marlborough,,,Marlborough PD,,21:00,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,180 FARM RD @ 9 BOIVIN DR,Marlborough,,,Marlborough PD,,21:38,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,4
