Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,413 LAKESIDE AVE @ 75 FELTON ST,Marlborough,,,Marlborough PD,,07:14,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,NICKERSON RD,Marlborough,,,Marlborough PD,,07:48,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:01,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Medical,,Services Rendered- FD,No,,181 BOSTON POST ROAD EAST Apt. #16,Marlborough,,,Marlborough PD,,08:28,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,SUDDEN DEATH,,Report,Yes,,181 BOSTON POST ROAD EAST Apt. #16,Marlborough,,,Marlborough PD,,08:28,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,282 EAST MAIN ST @ 1 HOSMER ST,Marlborough,,,Marlborough PD,,08:31,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:41,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,HUDSON ST,Marlborough,,,Marlborough PD,,09:04,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Sex Offender Registration,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:24,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,9 DUDLEY ST @ 89 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,10:00,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 186 WHITE POND RD,Marlborough,,,Marlborough PD,,10:02,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Well being check,,Services Rendered- PD,No,,342 LINCOLN ST Apt. #219,Marlborough,,,Marlborough PD,,10:22,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,MOTOR VEHICLE STOP,,Report,Yes,,61 BOSTON POST ROAD EAST @ 28 PETERS AVE,Marlborough,,,Marlborough PD,,10:32,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Medical,,Services Rendered- FD,No,,342 LINCOLN ST Apt. #219,Marlborough,,,Marlborough PD,,10:34,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,669 STOW RD,Marlborough,,,Marlborough PD,,10:45,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Medical,,Transported to Hospital,No,,31 WESTERN VIEW DR,Marlborough,,,Marlborough PD,,10:56,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,31 WESTERN VIEW DR,Marlborough,,,Marlborough PD,,10:56,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,11 GRANGER BLVD @ 280 WEST MAIN ST,Marlborough,,,Marlborough PD,,11:50,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,1
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,11:57,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,15 PARIS ST Apt. #1,Marlborough,,,Marlborough PD,,12:00,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Well being check,,Services Rendered- PD,No,,509 LINCOLN ST Apt. #7,Marlborough,,,Marlborough PD,,12:01,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Medical,,Transported to Hospital,No,,400 BOLTON ST Apt. #119B,Marlborough,,,Marlborough PD,,12:08,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,74 STETSON DR,Marlborough,,,Marlborough PD,,12:11,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Suspicious M/V,,Services Rendered- PD,No,,60 ASH ST @ 346 MECHANIC ST,Marlborough,,,Marlborough PD,,12:26,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Medical,,Services Rendered- FD,No,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,12:35,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Private Tow,,Private tow,No,,19 ROYAL CREST DR,Marlborough,,,Marlborough PD,,13:07,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,DISTURBANCE,,Unfounded,No,,5 GLEASON ST,Marlborough,,,Marlborough PD,,14:29,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Ambulance Only,,Transported to Hospital,No,,[HUD] 234 WASHINGTON ST,Marlborough,,,Marlborough PD,,14:44,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,"ALARM, BURGLAR",,Unfounded,No,,493 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,15:02,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Medical,,Transported to Hospital,No,,50 HIGHGATE RD,Marlborough,,,Marlborough PD,,15:04,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,50 HIGHGATE RD,Marlborough,,,Marlborough PD,,15:06,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,450 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,15:09,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Medical,,Services Rendered- FD,No,,450 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,15:10,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,DISTURBANCE,,Services Rendered- PD,No,,265 LAKESIDE AVE,Marlborough,,,Marlborough PD,,15:24,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,DISTURBANCE,,Arrest(s) Made,Yes,22-64-AR,450 BOSTON POST ROAD EAST Apt. #606,Marlborough,,,Marlborough PD,,15:29,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Medical,,Transported to Hospital,No,,496 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,15:47,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,2
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #214A,Marlborough,,,Marlborough PD,,16:00,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #214A,Marlborough,,,Marlborough PD,,16:00,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,5 MILL STREET NORTH,Marlborough,,,Marlborough PD,,16:14,,,03/04/2022,Call_Log_March_4_2022_to_March_7_2022.pdf,3
