Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,322 MAPLE ST,Marlborough,,,Marlborough PD,,07:35,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,39 BRIARWOOD LN Apt. #5,Marlborough,,,Marlborough PD,,08:36,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Private Tow,,Private tow,No,,207 PROSPECT ST,Marlborough,,,Marlborough PD,,08:46,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,421 BOLTON ST Apt. #122,Marlborough,,,Marlborough PD,,08:49,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:02,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,421 BOLTON ST Apt. #103,Marlborough,,,Marlborough PD,,09:57,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,FAMILY RESIDENTIAL - 22 BOND ST,Marlborough,,,Marlborough PD,,10:42,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,FAMILY RESIDENTIAL - 22 BOND ST Apt. #2,Marlborough,,,Marlborough PD,,10:43,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Well being check,,Report,Yes,,25 BRIARWOOD LN Apt. #8,Marlborough,,,Marlborough PD,,11:17,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,193 BERLIN RD,Marlborough,,,Marlborough PD,,11:19,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 58 RIVER ST,Marlborough,,,Marlborough PD,,11:40,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Police Assist,,Report,Yes,,228 PROSPECT ST,Marlborough,,,Marlborough PD,,12:58,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,431 LINCOLN ST,Marlborough,,,Marlborough PD,,13:09,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,27 MAIN ST,Marlborough,,,Marlborough PD,,14:03,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,3 WITHERBEE TER,Marlborough,,,Marlborough PD,,14:21,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,3 WITHERBEE TER Apt. #B,Marlborough,,,Marlborough PD,,14:23,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Police Assist,,Services Rendered- PD,No,,12 FARMHOUSE LN Apt. #4,Marlborough,,,Marlborough PD,,14:31,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,14:52,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,14:52,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,2
,,Well being check,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,14:58,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,2
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,15:06,,,10/02/2023,Call_Log_October_2_2023_to_October_4_2023.pdf,2
