Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,521 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,15:34,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,Medical,,Medical Assistance Rendered,No,,29 BELMORE PL,Marlborough,,,Marlborough PD,,15:39,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,Medical,,Medical Assistance Rendered,No,,616 BOSTON POST ROAD EAST Apt. #21,Marlborough,,,Marlborough PD,,15:41,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,29 BELMORE PL,Marlborough,,,Marlborough PD,,15:43,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,616 BOSTON POST ROAD EAST Apt. #21,Marlborough,,,Marlborough PD,,15:44,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,DISABLED MV,,Services Rendered- PD,No,,282 EAST MAIN ST @ 1 HOSMER ST,Marlborough,,,Marlborough PD,,15:59,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,89 PRESTON ST,Marlborough,,,Marlborough PD,,16:08,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,216 MAPLE ST,Marlborough,,,Marlborough PD,,16:13,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,COMPLAINT,,Services Rendered- PD,No,,148 EAST MAIN ST,Marlborough,,,Marlborough PD,,16:32,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Medical,,No Action Required,No,,406 HEMENWAY ST Apt. #6024,Marlborough,,,Marlborough PD,,16:33,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,LARCENY,,Arrest(s) Made,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,16:34,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Wires Down,,Services Rendered- PD,No,,150 ELM ST,Marlborough,,,Marlborough PD,,16:40,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Wires Down,,Services Rendered- PD,No,,150 WILLIAMS ST,Marlborough,,,Marlborough PD,,16:41,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,114 EAST MAIN ST,Marlborough,,,Marlborough PD,,16:42,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Ambulance Only,,Medical Assistance Rendered,No,,[HUD] 97 HUNTER AVE,Marlborough,,,Marlborough PD,,17:01,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,DISTURBANCE,,Services Rendered- PD,No,,8 GRANT ST @ 181 WEST MAIN ST,Marlborough,,,Marlborough PD,,17:02,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Public Assist,,Services Rendered- PD,No,,58 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,17:10,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
