Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,12:33,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,2
,,ASSIST OTHER AGENCY,,Services,No,,47 CRYSTAL BROOK WAY Apt. #G,Marlborough,,,Marlborough PD,,12:44,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,2
,,Medical,,Transported to Hospital,No,,19 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,13:11,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,19 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,13:14,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Trespassing,,Report,Yes,,431 BOLTON ST,Marlborough,,,Marlborough PD,,13:24,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,290 BOLTON ST @ 400 HUDSON ST,Marlborough,,,Marlborough PD,,14:04,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Medical,,Transported to Hospital,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,14:13,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,14:14,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Motor vehicle accident I,,Transported to,No,,290 BOLTON ST @ 400 HUDSON ST,Marlborough,,,Marlborough PD,,14:18,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Medical,,Transported to Hospital,No,,400 BOLTON ST,Marlborough,,,Marlborough PD,,14:23,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Medical,,Transported to Hospital,No,,402 HEMENWAY ST,Marlborough,,,Marlborough PD,,14:25,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,190 EAST MAIN ST,Marlborough,,,Marlborough PD,,14:30,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Fraud / Forgery,,Report,Yes,,53 EWALD AVE,Marlborough,,,Marlborough PD,,15:09,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Wires Down,,Services Rendered- FD,No,,759 PLEASANT ST,Marlborough,,,Marlborough PD,,15:19,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Trespassing,,Report,Yes,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,15:28,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,ASSIST OTHER AGENCY,,Services,No,,759 PLEASANT ST,Marlborough,,,Marlborough PD,,15:29,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,DPW Called Out,,Services Rendered- PD,No,,759 PLEASANT ST,Marlborough,,,Marlborough PD,,15:31,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Medical,,Transported to Hospital,No,,166 WILSON ST,Marlborough,,,Marlborough PD,,15:32,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,759 PLEASANT ST,Marlborough,,,Marlborough PD,,15:43,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,3
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,15:43,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,Ambulance Only,,Transported to Hospital,No,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,15:44,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,Fraud / Forgery,,Report,Yes,,156 EAST MAIN ST,Marlborough,,,Marlborough PD,,16:26,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,Well being check,,Services Rendered- PD,No,,200 BROAD ST Apt. #1,Marlborough,,,Marlborough PD,,16:46,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,146 MAPLE ST,Marlborough,,,Marlborough PD,,17:05,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,17:07,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,LANDRY DR,Marlborough,,,Marlborough PD,,17:07,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,133 EAST MAIN ST @ 5 STEVENS ST,Marlborough,,,Marlborough PD,,17:11,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,"ALARM, BURGLAR",,No Action Required,No,,140 MAIN ST,Marlborough,,,Marlborough PD,,17:35,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,Fraud / Forgery,,Report,Yes,,57 RICHARD RD,Marlborough,,,Marlborough PD,,17:42,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
,,"ALARM, BURGLAR",,No Action Required,No,,225 CEDAR HILL ST,Marlborough,,,Marlborough PD,,18:12,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,4
