Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,pedestrian accident,,Services,No,,402 MAPLE ST,Marlborough,,,Marlborough PD,,15:56,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,2
,,MVA WITH INJURIES,,Report,Yes,,402 MAPLE ST,Marlborough,,,Marlborough PD,,15:58,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,2
,,Wires Down,,Services Rendered- FD,No,,6 SAWIN ST,Marlborough,,,Marlborough PD,,16:15,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,54 SOUTH BOLTON ST,Marlborough,,,Marlborough PD,,16:32,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,56 FLORENCE ST,Marlborough,,,Marlborough PD,,17:07,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,100 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,17:24,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Parking Violation,,Unfounded,No,,46 MAPLE ST @ 14 ESSEX ST,Marlborough,,,Marlborough PD,,18:26,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Medical,,Transported to Hospital,No,,706 HOSMER ST,Marlborough,,,Marlborough PD,,18:55,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,449 BOSTON POST ROAD EAST Apt. #A ST1,Marlborough,,,Marlborough PD,,18:57,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Well being check,,Report,Yes,,849 BOSTON POST ROAD EAST Apt. #10I,Marlborough,,,Marlborough PD,,19:40,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,"ALARM, BURGLAR",,No Action Required,No,,130A COOK LN,Marlborough,,,Marlborough PD,,19:54,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Parking Violation,,Services Rendered- PD,No,,80 HIGHLAND ST,Marlborough,,,Marlborough PD,,19:57,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Well being check,,Services Rendered- PD,No,,178 EAST MAIN ST Apt. #1,Marlborough,,,Marlborough PD,,20:02,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Medical,,Services Rendered- FD,No,,178 EAST MAIN ST,Marlborough,,,Marlborough PD,,20:17,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
,,Fraud / Forgery,,Report,Yes,,15 DICKENSON WAY Apt. #81E,Marlborough,,,Marlborough PD,,20:21,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,3
