Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SERVE SUMMONS,,Services Rendered- PD,No,,17 EVELINA DR,Marlborough,,,Marlborough PD,,07:00,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #325,Marlborough,,,Marlborough PD,,07:07,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,4 OLD CHARTER RD,Marlborough,,,Marlborough PD,,07:09,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,1 ROYAL CREST DR Apt. #7,Marlborough,,,Marlborough PD,,07:11,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,197 BOSTON POST ROAD WEST Apt. #K1,Marlborough,,,Marlborough PD,,07:16,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,15 DICKENSON WAY Apt. #80E,Marlborough,,,Marlborough PD,,07:40,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,171 SOUTH ST,Marlborough,,,Marlborough PD,,07:42,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,No Action Required,No,,13 ANDERSON RD,Marlborough,,,Marlborough PD,,08:03,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,87 LINCOLN ST,Marlborough,,,Marlborough PD,,08:13,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #222,Marlborough,,,Marlborough PD,,08:15,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:28,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,20 BIRCH RD,Marlborough,,,Marlborough PD,,08:30,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:40,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,132 ICE HOUSE LANDING,Marlborough,,,Marlborough PD,,08:45,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,300 WEST HILL RD,Marlborough,,,Marlborough PD,,08:48,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,72 FELTON ST @ 15 FORBES AVE,Marlborough,,,Marlborough PD,,08:49,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:20,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,56 FRYE ST,Marlborough,,,Marlborough PD,,09:22,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #224,Marlborough,,,Marlborough PD,,09:25,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,720 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:39,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,82 BRIGHAM ST,Marlborough,,,Marlborough PD,,09:54,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,Private Tow,,Services Rendered- PD,No,,110 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:16,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,405 MAPLE ST,Marlborough,,,Marlborough PD,,10:27,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,59 ELM ST Apt. #3,Marlborough,,,Marlborough PD,,10:42,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,911 Hangup/Call,,Services Rendered- PD,No,,420 HEMENWAY ST Apt. #471,Marlborough,,,Marlborough PD,,11:23,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Sex Offender Registration,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,11:25,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,420 HEMENWAY ST Apt. #471,Marlborough,,,Marlborough PD,,12:06,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,ROUTE 495 S,Marlborough,,,Marlborough PD,,12:37,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,LARCENY,,Report,Yes,,193 BOSTON POST ROAD WEST Apt. #C,Marlborough,,,Marlborough PD,,12:47,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,911 Hangup/Call,,Services Rendered- PD,No,,791 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,12:56,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,1001 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,13:10,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,13:13,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,410 LAKESIDE AVE,Marlborough,,,Marlborough PD,,13:48,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,100 GRANGER BLVD @ 20 FLORENCE ST,Marlborough,,,Marlborough PD,,14:19,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #422,Marlborough,,,Marlborough PD,,14:28,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,ASSIST CITIZEN,,Building Checked/Secured,No,,20 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,14:42,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Parking Violation,,Citation/Warning Issued,No,,13 SHORT ST,Marlborough,,,Marlborough PD,,14:59,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Private Tow,,Private tow,No,,103 MECHANIC ST Apt. #6,Marlborough,,,Marlborough PD,,15:09,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Directed Patrol,,Citation/Warning Issued,No,,169 LAKESIDE AVE @ 643 LINCOLN ST,Marlborough,,,Marlborough PD,,15:18,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Directed Patrol,,Could Not Locate,No,,406 LINCOLN ST,Marlborough,,,Marlborough PD,,16:18,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Fraud / Forgery,,Report,Yes,,279 EAST MAIN ST,Marlborough,,,Marlborough PD,,16:21,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,141 BROADMEADOW RD Apt. #A/B,Marlborough,,,Marlborough PD,,16:25,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,15 BRIMSMEAD ST,Marlborough,,,Marlborough PD,,16:39,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,135 AMES ST Apt. #1206,Marlborough,,,Marlborough PD,,16:40,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,200 MAIN ST,Marlborough,,,Marlborough PD,,17:14,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,200 BEACH ST,Marlborough,,,Marlborough PD,,17:16,,,02/22/2019,Call_Log_February_22_2019_to_February_25_2019.pdf,2
