Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #146,Marlborough,,,Marlborough PD,,16:18,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,DPW Called Out,,Services Rendered- PD,No,,32 FRYE ST @ 54 PEARL ST,Marlborough,,,Marlborough PD,,16:21,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,Harassment,,Report,Yes,,CULLINANE DR,Marlborough,,,Marlborough PD,,16:27,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,627 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,17:07,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,104 BOLTON ST,Marlborough,,,Marlborough PD,,17:34,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,DISABLED MV,,Services Rendered- PD,No,,235 WEST MAIN ST @ 16 BEACH ST,Marlborough,,,Marlborough PD,,17:43,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,157 UNION ST,Marlborough,,,Marlborough PD,,18:03,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,DISTURBANCE,,Report,Yes,,23 KIRBY ST Apt. #1,Marlborough,,,Marlborough PD,,18:09,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,35 GIBBONS ST,Marlborough,,,Marlborough PD,,18:46,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,312 MAPLE ST,Marlborough,,,Marlborough PD,,18:48,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,"ALARM, BURGLAR",,"False Alarm, Accidental",No,,TESLA - 24 SAINT MARTIN DR,Marlborough,,,Marlborough PD,,18:50,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,Parking Violation,,CRIMINAL COMPLAINT,Yes,,168 PLEASANT ST,Marlborough,,,Marlborough PD,,19:30,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,119 ELM ST Apt. #2NDFR,Marlborough,,,Marlborough PD,,19:45,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,ASSIST OTHER AGENCY,,No Action Required,No,,ROUTE 495 S,Marlborough,,,Marlborough PD,,19:50,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,DISTURBANCE,,Report,Yes,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,19:57,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,250 MAPLE ST,Marlborough,,,Marlborough PD,,20:08,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,25 STEVENS ST,Marlborough,,,Marlborough PD,,20:16,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,3
,,DISTURBANCE,,Report,Yes,,32 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,20:28,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,3
