Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA WITH INJURIES,,Report,Yes,,215 MAPLE ST,Marlborough,,,Marlborough PD,,07:08,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,VANDALISM,,Report,Yes,,11 CONVENIENCE STORE - 92 BROAD ST,Marlborough,,,Marlborough PD,,07:10,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,Fire Alarm Still,,No Action Required,No,,51 KINDER CIR,Marlborough,,,Marlborough PD,,07:14,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #116,Marlborough,,,Marlborough PD,,07:39,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,Well being check,,Services Rendered- PD,No,,121 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,08:35,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,133 WEST MAIN ST,Marlborough,,,Marlborough PD,,10:05,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,14 LEOLEIS DR @ 553 BRIGHAM ST,Marlborough,,,Marlborough PD,,10:30,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #309,Marlborough,,,Marlborough PD,,11:15,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,11 HIGH ST,Marlborough,,,Marlborough PD,,11:17,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,37 FRANKLIN ST Apt. #2,Marlborough,,,Marlborough PD,,11:39,,,09/20/2018,Call_Log_September_20_2018_to_September_21_2018.pdf,1
