Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,1 BOLTON ST @ 91 MAIN ST,Marlborough,,,Marlborough PD,,16:42,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,Medical,,Services Rendered- FD,No,,23 HOUDE ST,Marlborough,,,Marlborough PD,,16:46,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,32 SHORT ST @ 169 LINCOLN ST,Marlborough,,,Marlborough PD,,16:49,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,DPW Called Out,,Services Rendered- PD,No,,1 BOLTON ST @ 91 MAIN ST,Marlborough,,,Marlborough PD,,16:51,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,Threats,,Report,Yes,,460 BOSTON POST ROAD EAST Apt. #B602,Marlborough,,,Marlborough PD,,17:35,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,223 EAST MAIN ST,Marlborough,,,Marlborough PD,,17:38,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,SHOPLIFTING,,Report,Yes,,193 BOSTON POST ROAD WEST Apt. #C,Marlborough,,,Marlborough PD,,18:40,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,2
,,DISTURBANCE,,Report,Yes,,30 BRIARWOOD LN Apt. #6,Marlborough,,,Marlborough PD,,18:51,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Medical,,Services Rendered- FD,No,,121 NORTHBORO ROAD EAST Apt. #126,Marlborough,,,Marlborough PD,,20:44,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #126,Marlborough,,,Marlborough PD,,20:44,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Medical,,Services Rendered- FD,No,,240 MAIN ST Apt. #312,Marlborough,,,Marlborough PD,,20:54,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
