Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Private Tow,,Private tow,No,,71 CHRISTIE WAY,Marlborough,,,Marlborough PD,,07:03,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,Private Tow,,Private tow,No,,698 PLEASANT ST,Marlborough,,,Marlborough PD,,07:08,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,393 SOUTH ST,Marlborough,,,Marlborough PD,,07:10,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,26 MAURICE DR,Marlborough,,,Marlborough PD,,07:44,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,494 LINCOLN ST,Marlborough,,,Marlborough PD,,08:05,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:20,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:45,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,331 STOW RD,Marlborough,,,Marlborough PD,,08:58,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,Fraud / Forgery,,Report,Yes,,601 DONALD J. LYNCH BLVD Apt. #N117A,Marlborough,,,Marlborough PD,,09:02,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,Medical,,Services Rendered- FD,No,,304 SOUTH ST,Marlborough,,,Marlborough PD,,09:28,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,58 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,09:28,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,SUDDEN DEATH,,Report,Yes,,304 SOUTH ST,Marlborough,,,Marlborough PD,,09:30,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,Well being check,,Services Rendered- PD,No,,26 SONIA DR,Marlborough,,,Marlborough PD,,09:43,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,400 BOLTON ST Apt. #106,Marlborough,,,Marlborough PD,,09:45,,,02/07/2023,Call_Log_February_7_2023_to_February_13_2023.pdf,1
