Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #120,Marlborough,,,Marlborough PD,,13:00,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #120,Marlborough,,,Marlborough PD,,13:00,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,100 GRANGER BLVD @ 20 FLORENCE ST,Marlborough,,,Marlborough PD,,13:20,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,556 PLEASANT ST,Marlborough,,,Marlborough PD,,13:27,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,19 BICKNELL ST,Marlborough,,,Marlborough PD,,14:15,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,69 MAPLE ST @ 30 BRIDGE ST,Marlborough,,,Marlborough PD,,14:31,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,627 CONCORD RD,Marlborough,,,Marlborough PD,,14:36,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,300 LAKESIDE AVE,Marlborough,,,Marlborough PD,,14:58,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,68 WASHINGTON ST @ 30 MCENELLY ST,Marlborough,,,Marlborough PD,,15:05,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,TRAFFIC CONTROL,,No Action Required,No,,36 WASHINGTON ST,Marlborough,,,Marlborough PD,,15:08,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,319 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,15:14,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,245 EAST MAIN ST @ 11 CURTIS AVE,Marlborough,,,Marlborough PD,,15:30,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,DISABLED MV,,Services Rendered- PD,No,,WHEELER HILL BLVD @ DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,15:31,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,14 BARNES CIR,Marlborough,,,Marlborough PD,,15:49,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,DISTURBANCE,,Report,Yes,,33 BRIARWOOD LN Apt. #7,Marlborough,,,Marlborough PD,,15:56,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,2
,,DPW Called Out,,Services Rendered- PD,No,,64 CRESTWOOD LN,Marlborough,,,Marlborough PD,,16:09,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,Parking Violation,,Citation/Warning Issued,No,,45 LIBERTY ST,Marlborough,,,Marlborough PD,,16:41,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,ASSIST CITIZEN,,Report,Yes,,92 ROBERT RD,Marlborough,,,Marlborough PD,,16:50,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,911 Hangup/Call,,Building Checked/Secured,No,,54 SPOONHILL AVE,Marlborough,,,Marlborough PD,,17:01,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,911 Hangup/Call,,Building Checked/Secured,No,,849 BOSTON POST ROAD EAST Apt. #5G,Marlborough,,,Marlborough PD,,18:05,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,1001 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,18:26,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,Medical,,Transported to Hospital,No,,1001 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,18:27,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,277 BOSTON POST ROAD WEST @ 175 AMES ST,Marlborough,,,Marlborough PD,,18:42,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,3
