Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Only,,Transported to Hospital,No,,FAMILY RESIDENTIAL - 3 ALLEN CT Apt. #1,Marlborough,,,Marlborough PD,,12:30,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,2
,,Well being check,,Services Rendered- PD,No,,177 ELM ST,Marlborough,,,Marlborough PD,,12:46,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,2
,,LARCENY,,Report,Yes,,79A BROADMEADOW RD Apt. #1,Marlborough,,,Marlborough PD,,12:52,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,13:02,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,260 BOLTON ST,Marlborough,,,Marlborough PD,,13:10,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,2
,,Medical,,Services Rendered- FD,No,,40 NEW ST,Marlborough,,,Marlborough PD,,13:17,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,40 NEW ST,Marlborough,,,Marlborough PD,,13:18,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,106 MAIN ST,Marlborough,,,Marlborough PD,,13:23,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,44 QUEENS VIEW RD,Marlborough,,,Marlborough PD,,13:31,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,179 BIGELOW ST,Marlborough,,,Marlborough PD,,13:40,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,LARCENY,,Report,Yes,,276 MAIN ST Apt. #40,Marlborough,,,Marlborough PD,,13:42,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,13:45,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Threats,,Report,Yes,,96 WILLIAMS ST,Marlborough,,,Marlborough PD,,13:48,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,LARCENY,,Services Rendered- PD,No,,49 BRIARWOOD LN Apt. #3,Marlborough,,,Marlborough PD,,13:51,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Well being check,,Report,Yes,,240 MAIN ST Apt. #203,Marlborough,,,Marlborough PD,,13:57,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,14:21,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,14:24,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Well being check,,Services Rendered- PD,No,,39 NEWTON ST Apt. #8,Marlborough,,,Marlborough PD,,14:41,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,LARCENY,,Report,Yes,,121 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,15:09,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Ambulance Only,,Medical Assistance Rendered,No,,240 MAIN ST Apt. #203,Marlborough,,,Marlborough PD,,15:26,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
