Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Motor vehicle accident I,,Medical Assistance Rendered,No,,116 CHURCH ST @ 52 HILDRETH ST,Marlborough,,,Marlborough PD,,15:52,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,93 BROADMEADOW RD,Marlborough,,,Marlborough PD,,15:59,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,ABANDONED MV,,Citation/Warning Issued,No,,19 WARREN AVE @ 11 MADDOX RD,Marlborough,,,Marlborough PD,,16:23,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,605 HEMENWAY ST,Marlborough,,,Marlborough PD,,16:27,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,400 BOLTON ST,Marlborough,,,Marlborough PD,,16:45,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Well being check,,Services Rendered- PD,No,,1 CADILLAC DR,Marlborough,,,Marlborough PD,,16:53,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,36 WESTBORO RD,Marlborough,,,Marlborough PD,,17:13,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Police Assist,,Services Rendered- PD,No,,CROSS ST,Marlborough,,,Marlborough PD,,17:19,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Medical Assistance Rendered,No,,43 HOLLY HILL LN,Marlborough,,,Marlborough PD,,17:23,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,43 HOLLY HILL LN,Marlborough,,,Marlborough PD,,17:24,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,96 SOUTH BOLTON ST @ 28 BRIDGE ST,Marlborough,,,Marlborough PD,,17:38,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,WILLIAMS ST,Marlborough,,,Marlborough PD,,17:56,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,18:35,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,112 FOREST ST,Marlborough,,,Marlborough PD,,18:45,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,233 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,18:52,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,19:06,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Transported to Hospital,No,,794 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:07,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Suspicious M/V,,Services Rendered- PD,No,,794 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:07,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Services Rendered- FD,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,19:10,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Suspicious M/V,,Services Rendered- PD,No,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:39,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,771 BOSTON POST ROAD EAST Apt. #11,Marlborough,,,Marlborough PD,,19:53,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,DISTURBANCE,,Report,Yes,,230 EAST MAIN ST Apt. #B,Marlborough,,,Marlborough PD,,20:33,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,FOUND/LOST PROPERTY,,Report,Yes,,139 BROADMEADOW RD Apt. #8,Marlborough,,,Marlborough PD,,21:14,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,DISTURBANCE,,Report,Yes,,520 LINCOLN ST,Marlborough,,,Marlborough PD,,21:42,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Services Rendered- FD,No,,424 LINCOLN ST @ 64 PLEASANT ST,Marlborough,,,Marlborough PD,,21:49,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,84 BERLIN RD @ 17 DALTON RD,Marlborough,,,Marlborough PD,,22:55,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #102,Marlborough,,,Marlborough PD,,23:03,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #102,Marlborough,,,Marlborough PD,,23:04,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,DISTURBANCE,,Arrest(s) Made,Yes,,99 GRANGER BLVD,Marlborough,,,Marlborough PD,,23:12,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Medical,,Transported to Hospital,No,,509 LINCOLN ST Apt. #10,Marlborough,,,Marlborough PD,,23:54,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,13 BERLIN RD,Marlborough,,,Marlborough PD,,01:55,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,397 BOLTON ST Apt. #C2,Marlborough,,,Marlborough PD,,02:30,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Medical,,Transported to Hospital,No,,397 BOLTON ST Apt. #C2,Marlborough,,,Marlborough PD,,02:31,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,LARCENY,,Report,Yes,,19 NORTHBORO ROAD EAST Apt. #146,Marlborough,,,Marlborough PD,,03:21,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Medical,,Transported to Hospital,No,,183 VEGA RD,Marlborough,,,Marlborough PD,,03:23,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,183 VEGA RD,Marlborough,,,Marlborough PD,,03:24,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,493 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,06:12,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,BUILDING CHECK,,Building Checked/Secured,No,,20 HELEN DR,Marlborough,,,Marlborough PD,,06:19,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,451 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:02,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,ASSIST CITIZEN,,Report,Yes,,10 ROYAL CREST DR,Marlborough,,,Marlborough PD,,07:04,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,362 ELM ST Apt. #10,Marlborough,,,Marlborough PD,,07:23,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST Apt. #112A,Marlborough,,,Marlborough PD,,07:30,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #112A,Marlborough,,,Marlborough PD,,07:31,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,Private Tow,,Private tow,No,,31 AZALEA LN Apt. #1,Marlborough,,,Marlborough PD,,08:21,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,WILSON ST,Marlborough,,,Marlborough PD,,08:26,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,08:41,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,Motor Vehicle Accident I I,,Medical Assistance Rendered,No,,ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,08:41,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,102 LIBERTY ST,Marlborough,,,Marlborough PD,,09:12,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,Well being check,,Services Rendered- PD,No,,85 BROAD ST,Marlborough,,,Marlborough PD,,09:14,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:26,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,911 Hangup/Call,,Services Rendered- PD,No,,103 NAUGLER AVE,Marlborough,,,Marlborough PD,,09:59,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,911 Hangup/Call,,Services Rendered- PD,No,,319 EAST MAIN ST Apt. #B3,Marlborough,,,Marlborough PD,,10:15,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,911 Hangup/Call,,Services Rendered- PD,No,,A- CAR - 364 MAPLE ST,Marlborough,,,Marlborough PD,,10:16,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,195 BOSTON POST ROAD WEST @ 139 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,10:19,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,SERVE SUMMONS,,Services Rendered- PD,No,,39 NEWTON ST Apt. #1,Marlborough,,,Marlborough PD,,10:27,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,4 ALLIS RD,Marlborough,,,Marlborough PD,,10:54,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,Harassment,,Services Rendered- PD,No,,DONAHUE DR,Marlborough,,,Marlborough PD,,11:27,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,388 COOK LN 1 @ 351 FARM RD,Marlborough,,,Marlborough PD,,11:32,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
