Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,340 BOLTON ST,Marlborough,,,Marlborough PD,,07:53,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:39,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,413 LAKESIDE AVE,Marlborough,,,Marlborough PD,,09:07,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,75 FELTON ST,Marlborough,,,Marlborough PD,,09:12,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Medical,,Services Rendered- FD,No,,75 FELTON ST,Marlborough,,,Marlborough PD,,09:12,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,19 SOUTH ST @ 22 EMMETT ST,Marlborough,,,Marlborough PD,,09:25,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,89 WILSON ST,Marlborough,,,Marlborough PD,,09:25,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,773 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:26,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,"Fire, Structure",,Services Rendered- FD,No,,733 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:26,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,378 LINCOLN ST,Marlborough,,,Marlborough PD,,09:33,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Medical,,Transported to Hospital,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:39,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:39,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,B&E into M/V,,Report,Yes,,277 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:51,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Well being check,,Report,Yes,,14 COTTING AVE Apt. #1,Marlborough,,,Marlborough PD,,10:26,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,LARCENY,,Report,Yes,,72 HAGER ST,Marlborough,,,Marlborough PD,,10:39,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Medical,,Services Rendered- FD,No,,FIL-A - 36 APEX DR,Marlborough,,,Marlborough PD,,11:22,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,FIL-A - 36 APEX DR,Marlborough,,,Marlborough PD,,11:23,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Medical,,Services Rendered- FD,No,,1 D'ANGELO DR,Marlborough,,,Marlborough PD,,11:27,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,1 D'ANGELO DR,Marlborough,,,Marlborough PD,,11:30,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
,,Medical,,Transported to Hospital,No,,450 BOSTON POST ROAD EAST Apt. #B,Marlborough,,,Marlborough PD,,11:34,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
,,Harassment,,Services Rendered- PD,No,,206 BOLTON ST,Marlborough,,,Marlborough PD,,12:11,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,247 MAPLE ST Apt. #A,Marlborough,,,Marlborough PD,,12:29,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
,,Fraud / Forgery,,Report,Yes,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,12:52,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
,,SERVE WARRANT,,No Action Required,No,,450 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,12:57,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
,,DISTURBANCE,,Report,Yes,,53 WINTHROP ST Apt. #B,Marlborough,,,Marlborough PD,,13:19,,,03/16/2021,Call_Log_March_16_2021_to_March_18_2021.pdf,2
