Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,525 MAPLE ST,Marlborough,,,Marlborough PD,,07:02,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,62 GLEN ST @ 6 FOLEY RD,Marlborough,,,Marlborough PD,,07:04,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Motor Vehicle Accident I I,,Services Rendered- FD,No,,ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,07:19,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,07:21,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,24 PARIS ST Apt. #4,Marlborough,,,Marlborough PD,,08:01,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Medical,,Transported to Hospital,No,,24 PARIS ST Apt. #3,Marlborough,,,Marlborough PD,,08:01,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #232,Marlborough,,,Marlborough PD,,08:15,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #232,Marlborough,,,Marlborough PD,,08:15,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,43 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,08:22,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,DISTURBANCE,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,08:23,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,ASSIST OTHER AGENCY,,Arrest(s) Made,Yes,19-327-AR,50 D'ANGELO DR Apt. #3,Marlborough,,,Marlborough PD,,08:24,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,202 EAST MAIN ST Apt. #1,Marlborough,,,Marlborough PD,,09:20,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,VANDALISM,,Report,Yes,,447 BOSTON POST ROAD EAST Apt. #57,Marlborough,,,Marlborough PD,,10:22,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,14 FAY CT,Marlborough,,,Marlborough PD,,10:25,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,493 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:32,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,DISTURBANCE,,Report,Yes,,601 DONALD J. LYNCH BLVD Apt. #F213,Marlborough,,,Marlborough PD,,11:06,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Medical,,Transported to Hospital,No,,430 NORTHBORO ROAD CENTRAL,Marlborough,,,Marlborough PD,,11:11,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,430 NORTHBORO ROAD CENTRAL,Marlborough,,,Marlborough PD,,11:12,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,ASSIST OTHER AGENCY,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,11:15,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,Fraud / Forgery,,Report,Yes,,90 SUDBURY ST,Marlborough,,,Marlborough PD,,12:12,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,99 GRANGER BLVD,Marlborough,,,Marlborough PD,,12:43,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,40 SAINT IVES WAY,Marlborough,,,Marlborough PD,,12:56,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Parking Violation,,Services Rendered- PD,No,,91 MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,13:00,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Medical,,Transported to Hospital,No,,65 FREMONT ST Apt. #4,Marlborough,,,Marlborough PD,,13:11,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,65 FREMONT ST,Marlborough,,,Marlborough PD,,13:12,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Medical,,Transported to Hospital,No,,55 CLINTON ST,Marlborough,,,Marlborough PD,,13:33,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Medical,,Transported to Hospital,No,,370 HEMENWAY ST Apt. #101,Marlborough,,,Marlborough PD,,13:35,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,55 CLINTON ST,Marlborough,,,Marlborough PD,,13:35,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,370 HEMENWAY ST Apt. #101,Marlborough,,,Marlborough PD,,13:38,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,14 MCDERMOT WAY,Marlborough,,,Marlborough PD,,13:55,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,627 CONCORD RD,Marlborough,,,Marlborough PD,,14:12,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,DISTURBANCE,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,14:13,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,54 EAST MAIN ST,Marlborough,,,Marlborough PD,,14:26,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,DISTURBANCE,,Services Rendered- PD,No,,700 BOLTON ST,Marlborough,,,Marlborough PD,,14:46,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,DISTURBANCE,,Services Rendered- PD,No,,6 WITHERBEE TER,Marlborough,,,Marlborough PD,,15:10,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,15:28,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,12 ELLIS AVE,Marlborough,,,Marlborough PD,,15:51,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,DPW Called Out,,Services Rendered- PD,No,,264 CLOVER HILL ST,Marlborough,,,Marlborough PD,,16:03,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,241 CLOVER HILL ST @ AHERN RD,Marlborough,,,Marlborough PD,,16:09,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Directed Patrol,,Services Rendered- PD,No,,303 BRIGHAM ST @ 18 LAROSE DR,Marlborough,,,Marlborough PD,,16:15,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Well being check,,Unfounded,No,,44 PARK ST Apt. #401,Marlborough,,,Marlborough PD,,16:17,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,16:17,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,Animal Complaint,,Could Not Locate,No,,CONCORD RD,Marlborough,,,Marlborough PD,,16:31,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,16:41,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,41 CURTIS AVE Apt. #D,Marlborough,,,Marlborough PD,,16:52,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,98 ARNOLD STREET EXT,Marlborough,,,Marlborough PD,,16:59,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Motor vehicle accident I,,Transported to Hospital,No,,5 GLEASON ST @ 26 WILLIAMS ST,Marlborough,,,Marlborough PD,,17:17,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,MVA WITH INJURIES,,Report,Yes,,5 GLEASON ST @ 26 WILLIAMS ST,Marlborough,,,Marlborough PD,,17:17,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,BUILDING CHECK,,Services Rendered- PD,No,,370 STEARNS RD,Marlborough,,,Marlborough PD,,17:47,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Ambulance Assist,,Arrest(s) Made,Yes,,56 EAST MAIN ST,Marlborough,,,Marlborough PD,,19:09,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Medical,,Services Rendered- FD,No,,56 EAST MAIN ST,Marlborough,,,Marlborough PD,,19:09,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,ABANDONED MV,,Services Rendered- PD,No,,70 NEWTON ST,Marlborough,,,Marlborough PD,,19:15,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,STATION THREE - 260 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:22,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Motor vehicle accident I,,Transported to Hospital,No,,STATION THREE - 260 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:35,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,22 BROAD ST,Marlborough,,,Marlborough PD,,20:14,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,19 BICKNELL ST,Marlborough,,,Marlborough PD,,20:18,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Well being check,,Services Rendered- PD,No,,22 BROAD ST Apt. #422,Marlborough,,,Marlborough PD,,20:54,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,DISTURBANCE,,Report,Yes,,431 LINCOLN ST,Marlborough,,,Marlborough PD,,21:46,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,911 Hangup/Call,,Unfounded,No,,215 CLOVER HILL ST,Marlborough,,,Marlborough PD,,21:48,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Eratic Operator,,Citation/Warning Issued,No,,61 BOSTON POST ROAD EAST @ 28 PETERS AVE,Marlborough,,,Marlborough PD,,22:27,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,11 CLINTON ST @ 186 EAST MAIN ST,Marlborough,,,Marlborough PD,,22:48,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,DISTURBANCE,,Arrest(s) Made,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,22:58,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Ambulance Assist,,No Action Required,No,,400 HEMENWAY ST Apt. #183,Marlborough,,,Marlborough PD,,23:31,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Medical,,Services Rendered- FD,No,,400 HEMENWAY ST Apt. #183,Marlborough,,,Marlborough PD,,23:32,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,"ALARM, HOLD-UP",,Building Checked/Secured,No,,146 MAPLE ST,Marlborough,,,Marlborough PD,,23:34,,,08/06/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,911 Hangup/Call,,Services Rendered- PD,No,,215 CLOVER HILL ST,Marlborough,,,Marlborough PD,,00:03,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Medical,,Transported to Hospital,No,,240 MAIN ST Apt. #302,Marlborough,,,Marlborough PD,,00:29,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #302,Marlborough,,,Marlborough PD,,00:31,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,4
,,Directed Patrol,,Building Checked/Secured,No,,706 HOSMER ST,Marlborough,,,Marlborough PD,,00:59,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,29 HIGHLAND ST,Marlborough,,,Marlborough PD,,02:08,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,4
,,Medical,,Transported to Hospital,No,,29 HIGHLAND ST,Marlborough,,,Marlborough PD,,02:08,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,525 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,02:21,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,4
,,SUSPICIOUS ACTIVITY,,Report,Yes,,181 W MAIN ST @ 8 GRANT ST,Marlborough,,,Marlborough PD,,02:36,,,08/07/2019,Call_Log_August_6_2019_to_August_8_2019.pdf,4
