Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ASSIST OTHER AGENCY,,Unfounded,No,,706 HOSMER ST,Marlborough,,,Marlborough PD,,07:04,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,181 BOSTON POST ROAD EAST Apt. #65,Marlborough,,,Marlborough PD,,07:18,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,222 EAST MAIN ST Apt. #F / G,Marlborough,,,Marlborough PD,,07:28,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,800 PLEASANT ST,Marlborough,,,Marlborough PD,,08:24,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,181 BOSTON POST ROAD EAST Apt. #65,Marlborough,,,Marlborough PD,,08:31,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,661 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,08:58,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Police Assist,,Services Rendered- PD,No,,FLORENCE ST,Marlborough,,,Marlborough PD,,10:03,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,400 DONALD J. LYNCH BLVD Apt. #FL 1,Marlborough,,,Marlborough PD,,10:33,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,65 SAINT IVES WAY Apt. #12,Marlborough,,,Marlborough PD,,10:33,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,230 MAPLE ST,Marlborough,,,Marlborough PD,,10:35,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,520 FARM RD,Marlborough,,,Marlborough PD,,10:40,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,400 LAKESIDE AVE,Marlborough,,,Marlborough PD,,10:49,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,58 UPLAND RD,Marlborough,,,Marlborough PD,,11:09,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,125 SANDINI RD @ 295 FOREST ST,Marlborough,,,Marlborough PD,,11:12,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,15 COTTING AVE Apt. #2,Marlborough,,,Marlborough PD,,11:25,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Directed Patrol,,Services Rendered- PD,No,,BRIGHAM ST,Marlborough,,,Marlborough PD,,12:15,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,85 SAWIN ST,Marlborough,,,Marlborough PD,,12:53,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #428,Marlborough,,,Marlborough PD,,13:41,,,01/18/2019,Call_Log_January_18_2019_to_January_22_2019.pdf,1
