Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SERVE WARRANT,,Arrest(s) Made,Yes,19-221-AR,355 BOLTON ST,Marlborough,,,Marlborough PD,,17:35,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,Ambulance Assist,,Unfounded,No,,30 BRIARWOOD LN,Marlborough,,,Marlborough PD,,17:43,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,95 LAKESHORE DR,Marlborough,,,Marlborough PD,,18:48,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,Harassment,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,18:55,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,264 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,18:58,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,Ambulance Assist,,Report,Yes,,279 ELM ST,Marlborough,,,Marlborough PD,,19:02,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,ABANDONED MV,,Could Not Locate,No,,COURT ST,Marlborough,,,Marlborough PD,,19:08,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,1 HOSMER ST @ 282 EAST MAIN ST,Marlborough,,,Marlborough PD,,19:56,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,35 BRIARWOOD LN Apt. #3,Marlborough,,,Marlborough PD,,19:58,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,ASSIST CITIZEN,,Unfounded,No,,400 MILLHAM ST @ 94 BOUNDARY ST,Marlborough,,,Marlborough PD,,20:14,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,680 FARM RD @ 2 BROADMEADOW RD,Marlborough,,,Marlborough PD,,20:17,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,DISTURBANCE,,Report,Yes,,679 STEVENS ST,Marlborough,,,Marlborough PD,,20:20,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,20:48,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Animal Complaint,,Unfounded,No,,25 BOND ST,Marlborough,,,Marlborough PD,,20:49,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Directed Patrol,,No Action Required,No,,632 BOLTON ST,Marlborough,,,Marlborough PD,,21:15,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Well being check,,Services Rendered- PD,No,,23 SHELLY LN,Marlborough,,,Marlborough PD,,21:21,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,DPW Called Out,,Services Rendered- PD,No,,290 BOLTON ST @ 400 HUDSON ST,Marlborough,,,Marlborough PD,,21:38,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,157 UNION ST,Marlborough,,,Marlborough PD,,22:50,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Harassment,,Report,Yes,,460 BOSTON POST ROAD EAST Apt. #B,Marlborough,,,Marlborough PD,,23:12,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,FOUND/LOST PROPERTY,,Services Rendered- PD,No,,35 BRIARWOOD LN,Marlborough,,,Marlborough PD,,23:20,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,509 LINCOLN ST,Marlborough,,,Marlborough PD,,23:23,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,208 MAIN ST @ 10 NEWTON ST,Marlborough,,,Marlborough PD,,01:01,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Suspicious M/V,,Services Rendered- PD,No,,169 BROADMEADOW RD Apt. #A/B,Marlborough,,,Marlborough PD,,01:40,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,773 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,01:48,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,48 VALLEY ST @ 175 MAPLE ST,Marlborough,,,Marlborough PD,,01:59,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,199 LAKESIDE AVE,Marlborough,,,Marlborough PD,,02:25,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,MOTOR VEHICLE STOP,,Arrest(s) Made,Yes,19-223-AR,139 LAKESIDE AVE,Marlborough,,,Marlborough PD,,05:15,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,720 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,05:47,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,FIL-A - 36 APEX DR,Marlborough,,,Marlborough PD,,06:10,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,DISTURBANCE,,Report,Yes,,302 BOSTON POST ROAD EAST Apt. #B4,Marlborough,,,Marlborough PD,,06:39,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Suspicious M/V,,Report,Yes,,19 BARTLETT ST,Marlborough,,,Marlborough PD,,06:40,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,SERVE WARRANT,,Arrest(s) Made,Yes,19-224-AR,21 BROWN ST,Marlborough,,,Marlborough PD,,06:40,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,3
,,Private Tow,,Private tow,No,,39 BRIARWOOD LN,Marlborough,,,Marlborough PD,,06:45,,,06/06/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,4
