Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,142 EDINBORO ST,Marlborough,,,Marlborough PD,,07:59,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,SECOND RD,Marlborough,,,Marlborough PD,,08:14,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,TRAFFIC CONTROL,,No Action Required,No,,175 MAPLE ST @ 48 VALLEY ST,Marlborough,,,Marlborough PD,,08:35,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:37,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:42,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,BOUNDARY ST,Marlborough,,,Marlborough PD,,08:53,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,91 WESTMINSTER DR,Marlborough,,,Marlborough PD,,08:54,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,230 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,08:56,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,19 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,08:57,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,205 EAST MAIN ST,Marlborough,,,Marlborough PD,,09:02,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,DISABLED MV,,Unfounded,No,,176 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:10,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,BOUNDARY ST,Marlborough,,,Marlborough PD,,09:34,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,750 FARM RD Apt. #107,Marlborough,,,Marlborough PD,,09:42,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,76 FITCHBURG ST @ 1 CROWLEY DR,Marlborough,,,Marlborough PD,,09:59,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Private Tow,,Services Rendered- PD,No,,MOHICAN PATH,Marlborough,,,Marlborough PD,,10:05,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Threats,,Report,Yes,,10 ROYAL CREST DR Apt. #3,Marlborough,,,Marlborough PD,,10:11,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,47 HIGHLAND ST,Marlborough,,,Marlborough PD,,10:30,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,VANDALISM,,Services Rendered- PD,No,,12 AVALON DR,Marlborough,,,Marlborough PD,,10:59,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,19 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,11:55,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,SHOPLIFTING,,Report,Yes,,431 LINCOLN ST,Marlborough,,,Marlborough PD,,11:56,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,5 LONGFELLOW TER,Marlborough,,,Marlborough PD,,12:39,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,197 RIDGE RD,Marlborough,,,Marlborough PD,,12:53,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,13:19,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Parking Violation,,Citation/Warning Issued,No,,44 NEIL ST,Marlborough,,,Marlborough PD,,13:40,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,195 EAST MAIN ST,Marlborough,,,Marlborough PD,,13:47,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Parking Violation,,Citation/Warning Issued,No,,84 WASHINGTON ST @ 8 GRANT CT,Marlborough,,,Marlborough PD,,13:51,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,402 HEMENWAY ST Apt. #126,Marlborough,,,Marlborough PD,,14:05,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,BRIGHAM ST,Marlborough,,,Marlborough PD,,14:10,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,67 FOREST ST,Marlborough,,,Marlborough PD,,14:57,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Parking Violation,,Citation/Warning Issued,No,,45 LIBERTY ST,Marlborough,,,Marlborough PD,,15:11,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,VANDALISM,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,15:33,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Ambulance Assist,,No Action Required,No,,FITCHBURG ST,Marlborough,,,Marlborough PD,,15:49,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,MVA WITH INJURIES,,Report,Yes,,MONUMENT AVE @ NEW ST,Marlborough,,,Marlborough PD,,16:06,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,19 NORTHBORO ROAD EAST Apt. #114,Marlborough,,,Marlborough PD,,16:11,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,LARCENY,,Report,Yes,,601 DONALD J. LYNCH BLVD Apt. #N139,Marlborough,,,Marlborough PD,,16:14,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Fraud / Forgery,,Report,Yes,,400 SOUTH ST,Marlborough,,,Marlborough PD,,16:15,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,Ambulance Assist,,Report,Yes,,56 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,16:24,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,282 EAST MAIN ST @ 1 HOSMER ST,Marlborough,,,Marlborough PD,,17:38,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,183 EAST MAIN ST @ 7 WALNUT ST,Marlborough,,,Marlborough PD,,17:52,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,"ALARM, HOLD-UP",,Building Checked/Secured,No,,1 D'ANGELO DR,Marlborough,,,Marlborough PD,,18:02,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,"ALARM, BURGLAR",,No Action Required,No,,190 EAST MAIN ST,Marlborough,,,Marlborough PD,,18:12,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,SOLICITING,,Unfounded,No,,MADDOX RD,Marlborough,,,Marlborough PD,,18:14,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,166 MAIN ST,Marlborough,,,Marlborough PD,,20:11,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,1 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,20:23,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,319 EAST MAIN ST Apt. #J3,Marlborough,,,Marlborough PD,,20:50,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,DPW Called Out,,Services Rendered- PD,No,,32 WEST MAIN ST @ 286 MAIN ST,Marlborough,,,Marlborough PD,,21:06,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,430 NORTHBORO ROAD CENTRAL,Marlborough,,,Marlborough PD,,21:22,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,1 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,21:24,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,Well being check,,Report,Yes,,72 WEST MAIN ST Apt. #1,Marlborough,,,Marlborough PD,,21:42,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,430 NORTHBORO ROAD CENTRAL,Marlborough,,,Marlborough PD,,22:20,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,24 SAINT MARTIN DR,Marlborough,,,Marlborough PD,,22:37,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,400 SOUTH ST,Marlborough,,,Marlborough PD,,22:44,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,911 Hangup/Call,,Unfounded,No,,55 MUSTANG AVE,Marlborough,,,Marlborough PD,,23:28,,,09/10/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,22 CLOVER HILL ST,Marlborough,,,Marlborough PD,,00:20,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,DPW Called Out,,Services Rendered- PD,No,,22 CLOVER HILL ST,Marlborough,,,Marlborough PD,,00:40,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,115 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,00:55,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,608 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,02:48,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,413 LAKESIDE AVE,Marlborough,,,Marlborough PD,,03:04,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,22A WASHINGTON CT,Marlborough,,,Marlborough PD,,04:25,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,85 BOLTON ST @ 136 LINCOLN ST,Marlborough,,,Marlborough PD,,05:52,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
,,Directed Patrol,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,06:36,,,09/11/2018,Call_Log_September_10_2018_to_September_11_2018.pdf,3
